date,btc_price,total_balance,net_flow,inflow,outflow
2013-11-24,819.121879480658,494580.04719828,-134.90807664000124,463.6901259300058,598.5982025700071
2013-11-25,818.102949121571,494434.37745416,-145.66974411998854,706.530649600003,852.2003937199916
2013-11-26,961.141567290207,500235.53825577,5801.160801609987,6271.502952329989,470.342150720002
2013-11-27,999.415668801402,500106.28131959995,-129.25693616999297,78.12731234000283,207.3842485099958
2013-11-28,1128.63276729689,501516.6765841801,1410.395264579995,1447.4407517200025,37.04548714000738
2013-11-29,1156.12458772548,505800.43508625997,4283.758502079991,5044.52156098999,760.7630589099995
2013-11-30,1135.64733714313,504935.19190315,-865.2431831099868,970.2465444500119,1835.4897275599988
2013-12-01,969.647095372332,507979.66662330995,3044.4747201599944,3561.3826213000025,516.907901140008
2013-12-02,1049.96146737223,505054.97029152,-2924.6963317899913,433.26827705001455,3357.964608840006
2013-12-03,1083.08303216514,509803.58369203995,4748.613400519987,4769.867124309987,21.253723790000002
2013-12-04,1151.2555680477,602946.5453025501,93142.96161051003,93700.73070010002,557.7690895899937
2013-12-05,1043.83264645522,606520.5440789199,3573.99877637,3918.1846555400025,344.1858791700024
2013-12-06,824.280086199878,613959.33502035,7438.790941429999,8702.916303540003,1264.125362110004
2013-12-07,693.140084193696,621265.0869403899,7305.751920039977,7359.1362430899835,53.38432305000606
2013-12-08,792.799250229714,628986.8305455,7721.74360511003,8537.64300276002,815.8993976499901
2013-12-09,913.901145699813,632197.1697668299,3210.3392213299617,4091.2866484399565,880.9474271099947
2013-12-10,1001.38624299217,634643.46296738,2446.293200550038,2489.524881140038,43.231680589999996
2013-12-11,885.121682113416,633946.08651248,-697.3764549000093,274.9988927299881,972.3753476299973
2013-12-12,872.246281457269,639654.13963739,5708.053124909985,5841.764436119997,133.71131121001247
2013-12-13,891.903966411817,647529.10132205,7874.961684660016,9008.298485280015,1133.3368006199987
2013-12-14,853.301024584832,647644.3159102399,115.21458818998138,115.21458818998138,0.0
2013-12-15,864.363192071149,649225.7729865899,1581.457076350007,1593.3542833600059,11.897207009998965
2013-12-16,702.070532469433,652103.85258749,2878.0796009000214,3180.3320509499977,302.252450049976
