date,basis_binance,basis_deribit,basis_3m
2020-10-22,10.1638,9.3154,9.7396
2020-10-23,11.6114,11.1726,11.392
2020-10-24,12.965,12.0939,12.5294
2020-10-25,11.3807,10.839,11.1099
2020-10-26,10.6098,9.0893,9.8495
2020-10-27,10.736,9.3043,10.0202
2020-10-28,9.3776,7.4368,8.4072
2020-10-29,9.3843,8.462,8.9232
2020-10-30,10.213,8.7598,9.4864
2020-10-31,9.1528,7.6013,8.377
2020-11-01,9.3959,8.6323,9.0141
2020-11-02,7.2481,6.5696,6.9089
2020-11-03,9.2447,9.069,9.1568
2020-11-04,10.5101,9.2317,9.8709
2020-11-05,10.893,9.0001,9.9465
2020-11-06,11.4201,9.6421,10.5311
2020-11-07,14.8069,12.9096,13.8583
2020-11-08,13.2627,11.4309,12.3468
2020-11-09,11.0221,9.2105,10.1163
2020-11-10,9.8558,8.6999,9.2779
2020-11-11,11.3675,9.8745,10.621
2020-11-12,11.7476,10.9178,11.3327
2020-11-13,9.7597,8.8713,9.3155
2020-11-14,8.0007,6.8818,7.4413
2020-11-15,7.5909,6.153,6.872
2020-11-16,9.5757,8.9008,9.2383
2020-11-17,9.2472,7.5768,8.412
2020-11-18,8.7909,8.6371,8.714
2020-11-19,9.8033,8.1448,8.974
2020-11-20,10.5311,8.7762,9.6537
2020-11-21,10.01,8.976,9.493
2020-11-22,10.9679,10.7885,10.8782
2020-11-23,12.7734,10.9216,11.8475
2020-11-24,15.5581,13.1134,14.3358
2020-11-25,13.568,10.9618,12.2649
2020-11-26,12.112,11.5102,11.8111
2020-11-27,12.308,10.2243,11.2662
2020-11-28,11.5747,9.8501,10.7124
2020-11-29,12.3891,11.6626,12.0258
2020-11-30,17.9259,15.8624,16.8941
2020-12-01,14.4327,12.5412,13.4869
2020-12-02,13.9785,13.3255,13.652
2020-12-03,14.6011,12.7709,13.686
2020-12-04,11.9024,10.3761,11.1392
2020-12-05,13.8792,11.7592,12.8192
2020-12-06,14.9204,13.0655,13.993
2020-12-07,13.8868,12.1554,13.0211
2020-12-08,12.4499,9.9403,11.1951
2020-12-09,10.8291,9.107,9.9681
2020-12-10,10.3297,8.6429,9.4863
2020-12-11,9.4879,7.2151,8.3515
2020-12-12,10.6098,8.9553,9.7825
2020-12-13,14.7703,13.8408,14.3056
2020-12-14,13.6213,13.6951,13.6582
2020-12-15,14.1154,13.3857,13.7506
2020-12-16,18.5005,17.0226,17.7615
2020-12-17,18.9944,16.2186,17.6065
2020-12-18,18.3635,16.5141,17.4388
2020-12-19,21.6614,19.4986,20.58
2020-12-20,18.6296,16.8206,17.7251
2020-12-21,15.901,14.5019,15.2015
2020-12-22,18.519,16.7175,17.6182
2020-12-23,15.8936,14.4754,15.1845
2020-12-24,18.1981,16.0556,17.1269
2020-12-25,19.372,18.5608,18.9664
2020-12-26,20.9919,20.4745,20.7332
2020-12-27,21.3907,20.2561,20.8234
2020-12-28,20.8192,18.6794,19.7493
2020-12-29,20.3362,18.0179,19.1771
2020-12-30,21.0566,19.7102,20.3834
2020-12-31,15.5151,12.8198,14.1674
2021-01-01,15.2737,13.7229,14.4983
2021-01-02,18.4837,16.5642,17.524
2021-01-03,22.3157,18.8635,20.5896
2021-01-04,20.8963,18.0924,19.4943
2021-01-05,21.1749,18.4162,19.7955
2021-01-06,23.1301,20.8417,21.9859
2021-01-07,23.1744,21.2708,22.2226
2021-01-08,19.3695,16.1546,17.762
2021-01-09,20.863,17.9944,19.4287
2021-01-10,19.8375,17.2876,18.5625
2021-01-11,20.7366,19.8252,20.2809
2021-01-12,22.4637,21.6755,22.0696
2021-01-13,23.0615,20.6654,21.8635
2021-01-14,24.8546,23.0928,23.9737
2021-01-15,21.9587,21.219,21.5889
2021-01-16,21.8967,21.1995,21.5481
2021-01-17,22.3355,20.5,21.4177
2021-01-18,25.1175,23.0164,24.067
2021-01-19,22.6334,21.0185,21.826
2021-01-20,18.7853,17.618,18.2016
2021-01-21,13.2356,11.1463,12.1909
2021-01-22,16.2148,15.0666,15.6407
2021-01-23,17.3002,15.4914,16.3958
2021-01-24,17.6741,15.2221,16.4481
2021-01-25,16.7476,15.7097,16.2287
2021-01-26,15.0452,12.5973,13.8212
2021-01-27,10.4636,8.4462,9.4549
2021-01-28,12.3512,9.1331,10.7421
2021-01-29,19.7036,18.4313,19.0674
2021-01-30,15.8605,13.6032,14.7318
2021-01-31,14.5812,12.4348,13.508
2021-02-01,17.5145,14.6118,16.0632
2021-02-02,23.1802,19.5759,21.378
2021-02-03,26.7041,22.9863,24.8452
2021-02-04,26.5073,23.0382,24.7728
