date,btc_price,sth_cost_basis,lth_cost_basis,realized_price,cvdd,active_realized_price_x,MVRV 0σ,true_market_mean_price,200_dma,50_wma,200_wma,cum_pl_price,pl_price_ratio,asopr,lth_sopr,sth_sopr,net_realized_pl_usd,nupl,sth_nupl,lth_nupl,daily_realized_profit_btc,daily_realized_loss_btc,rpl_ratio,sth_pl_ratio,lth_pl_ratio,rrp,rrl,relative_realized_pl,funding_rate,total_oi,trend_bitcoin,trend_crypto,trend_ethereum,trend_nft,wiki_bitcoin,wiki_cryptocurrency,wiki_ethereum,wiki_blockchain,lth_supply_btc,sth_supply_btc,pct_lth_in_profit,pct_sth_in_profit,pct_lth_in_loss,pct_sth_in_loss,percent_btc_in_profit,percent_btc_in_loss,mvrv_ratio,sth_mvrv,lth_mvrv,mvrv_zscore,Fear & Greed,total_balance,net_flow,inflow,outflow,rhodl_ratio,realized_cap_1w,realized_cap_1_2y,supply_0-1d,realized_cap_0-1d,supply_1d-1w,realized_cap_1d-1w,supply_1w-1m,realized_cap_1w-1m,supply_1m-3m,realized_cap_1m-3m,supply_3m-6m,realized_cap_3m-6m,supply_6m-12m,realized_cap_6m-12m,supply_1y-2y,realized_cap_1y-2y,supply_2y-3y,realized_cap_2y-3y,supply_3y-5y,realized_cap_3y-5y,supply_5y-7y,realized_cap_5y-7y,supply_7y-10y,realized_cap_7y-10y,supply_10y+,realized_cap_10y+,realized_cap_usd,lth_realized_cap_usd,sth_realized_cap_usd,cdd,vdd_30d_ma,vdd_365d_ma,vdd_multiple,lth_pl_price,lth_pl_flow_btc,aviv_ratio,aviv_mean,aviv_upper_1sd,aviv_upper_2sd,aviv_lower_1sd,aviv_lower_2sd,price_at_aviv_mean,price_at_aviv_plus_1_sigma,price_at_aviv_plus_2_sigma,price_at_aviv_minus_1_sigma,investor_cap,active_realized_price_y,liveliness,apparent_demand
2017-08-29,4566.01414603408,3168.42997163485,364.6129707608053,1521.4391011347925,813.5298025951158,2702.8708722903184,2802.773977245611,2387.9016396504467,2104.7329543173105,1536.9988027545587,715.7428256052042,2613.213091802505,1.747279684292642,1.0945533117534627,7.2346461264945505,1.0593137450482697,313163612.54503083,0.6667905414931151,0.3060840658176967,0.920146333519904,68585.77846720238,0.0048517096437637,14136414.481307711,5489030.103863693,2729.2596676178896,0.0124506949642255,8.807533891064697e-10,0.0124506940834721,,,6.24,0.76,1.36,0.0,35649.0,8293.0,6964.0,13430.0,9710902.91122336,6820911.884079032,100.0,94.2874676667926,0.0,5.712532333207541,97.64245822928928,2.3569368801025385,3.001115287906323,1.4410967535691197,12.522906512367312,4.973350546178257,,1181772.12614202,10180.552684880024,12806.614172269983,2626.0614873899576,4.365766907299104,13.669114096628654,3.130976615763734,2.356951137078605,7.073438982170122,4.81383612438075,13.669114096628654,16.344302941011357,38.275607652256646,11.87848855116161,20.443663478823886,7.567950142943287,7.724900428932763,6.826118730722289,3.799315474173119,10.109779157096042,3.130976615763734,6.222185080147485,1.1656644623908572,16.47631793770371,4.6906973345405,6.977285713752961,0.0262745534415233,10.426784484001736,0.0003469208806328,0.0,0.0,25152301586.201862,3540721159.2309017,21611581647.39634,27904102.833827708,121228864388.43826,27978936031.84801,4.5538017645352005,2613.2131,0.0073,1.9121613650135247,1.1081816900015735,1.5545041810135112,2.0008266720254486,0.6618591989896363,0.2155367079776989,2995.272011110713,4201.624071714936,5407.976132319159,1788.9199505064896,22221079197.936317,2702.8708722903184,0.562897442394493,17060.72640474513
2017-08-30,4546.63029745443,3195.302183842128,365.720433649154,1532.9126911872354,818.8848729158934,2721.590887188021,2824.572540718508,2405.828719884262,2122.4243679710503,1548.24072765498,718.8473010162373,2633.2549173221823,1.7266198830753547,1.0674333241543768,6.454700377407385,1.0316960477037331,183351606.17228484,0.6628464179184563,0.2972153056668988,0.9195623110473896,41020.43730376833,693.5151269333558,59.148583369992224,16.281839046394353,2729.2596676178896,0.0073585828814919,0.0001244084382454,0.0072341744432464,,,6.24,0.76,1.36,0.0,37497.0,8826.0,7311.0,13844.0,9713679.979000226,6820234.816302206,100.0,91.68231950038636,0.0,8.317680499613813,96.56837526536796,3.431019920851989,2.966007342488032,1.422910897268384,12.43198322852297,4.8808693105605965,,1189225.8943714702,7453.768229449978,10517.082769569974,3063.3145401199954,4.573665355800928,14.152219904277612,3.094284081437636,2.074509368570898,6.153178677145067,4.915120274777463,14.152219904277612,16.024472477875346,37.80583765609713,12.415432872687228,21.36037382643082,7.59162269615855,7.798529383572015,6.848139648909276,3.809838479780116,10.042244075206495,3.094284081437636,6.254341365075154,1.1598221627561478,16.430906154474194,4.639488470657557,6.964583062139328,0.0260825370318979,10.438628004125526,0.0003448208153265,0.0,0.0,25345201115.99657,3552491254.249068,21792711202.84656,21254243.18587433,105152951015.08472,28226503484.018867,3.423562045971192,2633.2549,0.0044,1.8898556193386784,1.1085515471357867,1.5552976997437145,2.002043852351642,0.661805394527859,0.2150592419199314,3017.0237886629398,4232.8840464869845,5448.744304311029,1801.163530838894,22404430804.1086,2721.590887188021,0.5632414108981157,14545.516009871848
2017-08-31,4699.49622909928,3235.776260541243,365.49974364299817,1552.2942320149396,824.3364093882283,2754.3356445926247,2860.9918905477866,2437.775785744029,2140.918380245936,1559.9239277266186,722.0586546974499,2660.91155992942,1.7661226700912722,1.0982130730280273,7.16485105385761,1.07218553547775,314042258.7516307,0.669689227027541,0.311463164816408,0.9222257608422316,66824.66448362723,0.0,,16.281839046394353,2729.2596676178896,0.0122343869293807,0.0,0.0122343869293807,,,6.81,0.76,1.36,0.0,40717.0,9427.0,7334.0,13777.0,9698655.171885204,6837297.123417192,100.0,100.0,0.0,0.0,99.99939526074208,0.0,3.0274519689473736,1.4523551230681204,12.857727839310094,5.051023031344855,,1181059.3533667198,-8166.541004749983,4816.165510910003,12982.706515659986,4.6166261648070686,14.095020303753772,3.053099774723217,2.3726652145174434,7.18308602173672,4.9120778172267645,14.095020303753772,15.461859092929071,36.67468126353206,12.70176303035696,21.634016250289054,7.653706054083171,7.855446352120683,6.81640979395188,3.754661693271799,10.018396949719016,3.053099774723217,6.251976017262208,1.141584748521577,16.423011595085903,4.582469257323483,6.937319694118182,0.025593308234458,10.450814740749047,0.000341026493949,0.0,0.0,25668818598.29532,3544855979.0058804,22123963718.22028,20946172.131181512,105337260629.66696,28475817371.85565,3.456843947940281,2660.9116,0.0059,1.9277964903048697,1.1088987966061914,1.5560843498487222,2.003269903091253,0.6617132433636606,0.2145276901211298,3054.2794817383,4285.978590781076,5517.677699823851,1822.5803726955244,22718473062.860226,2754.3356445926247,0.5635820874127812,9149.12334734574
2017-09-01,4901.28507371056,3276.3816141197613,364.9197926987586,1572.0581395273357,829.2264415221983,2788.2725881416577,2898.1877528446203,2470.739481501767,2160.395922671396,1572.1860584792175,725.4139317383901,2690.321323140136,1.8218214424995869,1.1081157022537795,6.103339380335531,1.071911383651636,319575939.6405662,0.679255926581476,0.3315260049464235,0.925546099194248,65202.50387446691,0.024354411469924,2677235.865665958,1145573.7021371662,2729.2596676178896,0.012291833724804,4.591240496379088e-09,0.0122918291335635,,,7.37,0.76,1.36,0.0,37745.0,8666.0,6903.0,12441.0,9681102.432546943,6857024.862755422,100.0,94.80462006023738,0.0,5.195379939762759,97.84530416820844,2.1540911720649203,3.117750514738729,1.4959445055448306,13.431129721583977,5.291289560583445,,1189527.9192209598,8468.565854239987,9353.469208659992,884.9033544200065,5.038981630617201,15.202744573492843,3.0170271868267817,2.154104197065469,6.715918651289248,5.272480462591944,15.202744573492843,14.61651515954198,35.112035971938454,13.54372800722421,22.82578576771458,7.604759084631901,7.765163614391207,6.770904627351324,3.692215371950492,10.012847639485956,3.0170271868267817,6.228328291497411,1.1208788022038578,16.412815126496543,4.522624607009714,6.924626024724545,0.0252683909346594,10.458891379388591,0.0003370622493074,0.0,0.0,25999054832.93329,3532825892.7804785,22466230187.893944,18123850.514071576,104866241384.16014,28711511829.66169,3.0938864706877114,2690.3213,0.006,1.983748430885268,1.1093184418341586,1.5570369770589134,2.004755512283668,0.6615999066094038,0.2138813713846491,3093.0822028862003,4341.443521856319,5589.804840826439,1844.7208839160812,23038049002.500797,2788.2725881416577,0.5638107788360425,8364.289330440573
2017-09-02,4602.2221279442,3293.359422804721,365.048542425161,1580.9551880514198,832.6195405045162,2803.501502469348,2915.2378630893186,2485.058685440271,2178.324853199525,1583.5962667608298,728.553834524867,2708.4897998220254,1.6991838508111097,1.061708225335734,6.301815985225074,1.025896936017034,140947813.518934,0.6564800341878265,0.2843979861798075,0.92067993845655,38714.59520178739,8088.560733978034,4.786339186297631,1.0165872239806537,2729.2596676178896,0.0068136520620675,0.0014235623086582,0.0053900897534092,,,6.81,0.76,1.36,0.0,34203.0,7485.0,5675.0,8868.0,9672234.74369189,6867942.551610567,100.0,89.28934998119249,0.0,10.710650018807282,95.55206193305732,4.447333482157935,2.911038948306051,1.3974247985434929,12.60715108563324,4.762097974804435,,1195623.4105516698,6095.491330710033,9318.955629870004,3223.4642991599694,5.7250908238048925,17.14423575404119,2.9945788253272005,1.6413805208923191,4.779269070211536,5.843820262648393,17.14423575404119,14.114622553745509,34.34295304351792,14.025367157533244,23.57650447438962,7.6616429363490095,7.876712059306647,6.717220370467464,3.6540168642073017,9.979235317368577,2.9945788253272005,6.240418289807617,1.11541918554831,16.392533940981064,4.490833243050775,6.914067974686534,0.0251418793025683,10.469690675519594,0.0003356010970657,0.0,0.0,26149437201.81744,3530835195.178725,22618603317.62816,13686554.92862595,102166719930.74884,28878966292.83191,2.181122596603487,2708.4898,0.0039,1.851972329098416,1.10963810131645,1.5577200037922376,2.005801906268025,0.6615561988406624,0.2134742963648748,3110.872084237902,4367.0703710580965,5623.2686578782905,1854.673797417708,23178996816.01973,2803.501502469348,0.5639216482170247,7898.744664928876
2017-09-03,4645.84832449062,3308.274279795756,365.2674171301341,1588.7849877676776,836.3169364019722,2816.5410940180222,2930.33434494408,2497.272412242551,2196.4512252771647,1595.1196325700014,731.716904234646,2722.763915102363,1.7062986249823124,1.05911559721816,8.593210717872864,1.0325379809658364,123622211.5342438,0.6580204783284923,0.2879073855347008,0.9213776706388316,28361.84877445755,1752.669373879943,16.182087276205426,3.7810179296639577,2729.2596676178896,0.0050135010355087,0.0003098179456046,0.0047036830899041,,,5.67,0.76,1.36,0.0,33920.0,7688.0,5857.0,9257.0,9664879.88601033,6877222.409292068,100.0,93.855435266436,0.0,6.144564733563843,97.44486631668106,2.554529168888908,2.924151700991504,1.404311714075123,12.719032978612054,4.778496314572992,,1193853.95020236,-1769.4603493100394,8039.0050336999875,9808.465383010029,5.802288388787351,17.262348463826125,2.9750931541398047,1.560241699054918,4.562355478197994,5.89434860445881,17.262348463826125,13.597512742012327,33.51451494837115,14.596742655574491,24.504771339238584,7.618518851589755,7.881624945856185,6.782594815022762,3.69916735597468,9.954932609380965,2.9750931541398047,6.240846096032571,1.10827957152203,16.38136875887322,4.466470328681357,6.901019768373963,0.0250403998906409,10.471873399625986,0.0003340143024845,0.0,0.0,26282002671.392475,3530265712.8359776,22751738013.095947,14709055.18919338,94939816174.98547,29060640631.31392,2.3514980372428376,2722.7639,0.0031,1.8603842541391755,1.1100359467856935,1.558526197148851,2.007016447512009,0.6615456964225357,0.2130554460593778,3126.461859959108,4389.653080373373,5652.844300787639,1863.270639544843,23302619027.55397,2816.5410940180222,0.5640908244307375,8556.369640888646
2017-09-04,4285.32075159234,3315.951599636992,365.385278706853,1594.6074601448745,840.7110466343618,2825.615235049885,2941.588867226156,2505.525653898983,2212.6679890592345,1605.6222769068174,734.6140544189741,2738.5326645075065,1.5648236762452512,1.02987118569282,6.748972154505467,1.0033974132479024,90430580.619351,0.6278907571732291,0.2262069068214204,0.9147356055970646,46017.37398842767,24914.967456606493,1.8469770859052688,0.1817809870969977,2729.2596676178896,0.0074748179593133,0.0040470550589693,0.003427762900344,,,7.37,0.76,1.36,0.0,40423.0,9600.0,7302.0,12518.0,9651793.096399177,6892496.698903304,100.0,72.72229308571492,0.0,27.27770691428464,88.63533154219215,11.36406402330671,2.687382856720742,1.2923351330162562,11.72822497599974,4.177306081460037,,1205143.70453821,11289.75433585002,13734.17159840999,2444.417262559971,5.198887093419591,15.39929361066764,2.962036553969224,2.547283644011528,6.845484793442125,5.254507080404008,15.39929361066764,13.006727558653546,32.36718816904211,14.878284440807851,25.14451948305267,7.680663864207126,8.037232225247688,6.730366386258495,3.672684980280169,9.938539377669604,2.962036553969224,6.208736159306931,1.0946518817674884,16.375512163031285,4.45155430263604,6.900107676931998,0.025020907627494,10.479271648716884,0.0003330922677419,0.0,0.0,26381807391.13394,3526623110.548692,22855185454.221096,18767535.052724022,91344802027.36417,29272823193.69676,2.747425722674832,2738.5327,0.0037,1.7103619011762687,1.11035230578372,1.5591029274209611,2.0078535490582023,0.6616016841464789,0.2128510625092377,3137.4283914952484,4405.424984731543,5673.421577967838,1869.4317982589528,23393049608.17332,2825.615235049885,0.5643399144953727,9015.238951106556
2017-09-05,4422.63294703185,3334.283465397608,365.915450843426,1602.9596357386793,843.5515208257717,2840.403535140719,2957.558189166913,2519.196626675073,2229.463014363217,1616.5288562625287,737.5990013402561,2750.9284145491847,1.6076873987855549,1.0398089433361837,6.869073551805197,1.0268456037019011,131238203.134506,0.6375553533524708,0.2460863233890262,0.91726298446517,36520.71967149003,6846.495130069839,5.334221229646517,1.388865991902504,2729.2596676178896,0.0060895085884575,0.0011415928073273,0.0049479157811301,,,7.37,0.76,1.36,0.0,40049.0,10203.0,7473.0,15629.0,9650968.416245576,6895783.879056845,100.0,88.9716348871026,0.0,11.028365112896998,95.40340235106495,4.595993304385643,2.759041992341749,1.326411804193876,12.086488659710298,4.346156973823677,,1204247.31743105,-896.3871071599824,8603.383573560006,9499.770680719988,5.213703867536537,15.333655406101736,2.9410292175544783,2.49653362978338,6.885666026624017,5.372358942795538,15.333655406101736,12.40647401419127,31.338887960615907,15.39007047770255,26.15335986043748,7.723876920295951,8.134739975385145,6.750161956972947,3.673501046233776,9.909603511889244,2.9410292175544783,6.175892867818286,1.0772201333059537,16.394871144001463,4.4366968091503,6.8937706925773625,0.0249119271046701,10.486385841971526,0.0003316374873685,0.0,0.0,26523936327.899666,3531438459.106165,22992498168.89461,12118727.632454736,86181066801.34099,29413949796.871983,1.822151886214864,2750.9284,0.0028,1.75558695418647,1.1107525002979357,1.5598177202266916,2.0088829401554475,0.6616872803691798,0.2126220604404238,3154.985328512649,4430.511766707033,5706.038204901415,1879.4588903182664,23524287811.307827,2840.403535140719,0.564342219655513,8124.259443855844
2017-09-06,4591.48563278169,3359.7782705805084,366.1306389160659,1615.0083225578312,846.9624438187533,2861.124149749132,2980.406495489337,2539.0318357308074,2247.087843806222,1627.9363437361296,740.6903223858187,2768.293064172078,1.6585981058890813,1.0598635228985476,8.17498740169024,1.045449279485358,193340474.6036895,0.6482601816224349,0.2682590038847553,0.9202587858923016,43014.66236293385,906.183742571322,47.4679254793057,16.072056113556634,2729.2596676178896,0.0073896938714806,0.0001556776243508,0.0072340162471298,,,6.24,0.76,1.36,0.0,39593.0,9611.0,6227.0,15743.0,9644971.797325317,6903805.497977067,100.0,87.56877344743161,0.0,12.43122655256838,94.81337805045068,5.186017678950458,2.843010508769236,1.366603764595562,12.540566521214496,4.552537759947234,,1203492.8557278097,-754.4617032400238,8398.377288679972,9152.838991919996,5.414391379620128,15.849209376759028,2.9272374798053487,2.2599520434457223,6.425028676179664,5.627552171540887,15.849209376759028,12.09787557765426,30.756998175835378,15.654341502877063,26.666671661891648,7.759413043949056,8.217989131534498,6.752557004555013,3.663797619219214,9.923150008576185,2.9272374798053487,6.175919793501,1.0684804570946622,16.37602512318102,4.399536165881674,6.870538101057296,0.0247214659032443,10.502675629662168,0.000329789896585,0.0,0.0,26726574560.901707,3531319686.4821544,23195255696.417595,13830253.094698688,84704364860.57362,29579606548.92774,2.146796925003232,2768.2931,0.0038,1.8083753095860016,1.1111514315249706,1.560577361250073,2.0100032909751757,0.6617255017998682,0.2122995720747659,3179.1421947644126,4465.005575824359,5750.868956884306,1893.2788137044656,23717628285.91152,2861.124149749132,0.5644663558900224,3036.8363223010674
2017-09-07,4596.43876153672,3402.065785227713,366.632394398932,1633.0027880392263,850.6908833688327,2892.3323381293826,3014.2207097252817,2569.2753517035976,2264.7516680297485,1639.3631717901374,743.7621840226772,2788.934400654911,1.648098557089533,1.096045534284515,6.623123684164932,1.084527064401967,291268642.1127061,0.6447243457904208,0.2598474685018308,0.9202355533447036,63989.77181975532,621.4431584317197,102.96962956554316,13.529818273040226,2729.2596676178896,0.0108822537082986,0.0001056841104917,0.0107765695978069,,,5.67,0.76,1.36,0.0,39771.0,9467.0,6203.0,14669.0,9645923.054216497,6905054.241085951,100.0,87.05873911648399,0.0,12.941260883515715,94.60034493500454,5.399050874717533,2.8147158077150256,1.3510728632865232,12.53691390001764,4.498257708681602,,1206208.1671266798,2715.311398869966,13867.376685049974,11152.065286180008,5.354292490081972,15.48161560452836,2.89144002372036,2.6491168149454216,7.456373464032878,5.569762970455195,15.48161560452836,11.701220486125564,29.98874560732128,15.924884501470752,27.11299870005568,7.553522561464458,7.989594833277722,6.776086964863628,3.647158739471832,9.901262933520789,2.89144002372036,6.174384222063723,1.0543543846340622,16.37707621921731,4.352927088884689,6.86205507430463,0.02446509176753,10.510627251567357,0.0003264623056532,0.0,0.0,27027955368.28156,3536507865.555253,23491448778.74003,15012341.953174563,82478700717.2309,29762318306.576912,2.3184790157884647,2788.9344,0.0045,1.7890161908571085,1.1115569457822614,1.5613270920453537,2.011097238308446,0.6617867995191692,0.212016653256077,3214.9920999583637,4515.876838720287,5816.761577482212,1914.10736119644,24008896928.024223,2892.3323381293826,0.5645972167553096,4894.023044819012
2017-09-08,4364.61856609267,3408.55476140582,367.8005315266036,1635.0503773743974,852.1964203791096,2896.543392304637,3018.515928555332,2572.4421267551043,2281.1374727221973,1650.1045132853412,746.6384929079335,2792.7292333412984,1.5628506029103009,1.010591756824721,6.41932511088297,1.000334895745257,27918878.93083216,0.6253852764874845,0.2190486500044253,0.9157313460598988,18930.25892765266,12533.622312548416,1.510358175441433,0.1121757142979388,2729.2596676178896,0.0030527275737083,0.0020211944579411,0.0010315331157671,,,6.24,0.76,1.36,0.0,32450.0,8112.0,5360.0,13287.0,9654494.624239825,6898670.171062604,100.0,74.53547932494035,0.0,25.46452067505936,89.38690757539926,10.612488314165809,2.669409228296365,1.2804894952875958,11.866808750864926,4.115807116995382,,1216369.72751985,10161.560393170024,13892.955656700016,3731.395263529992,5.725478922205674,16.52890949514268,2.886904260713812,1.981320964603594,5.288924334615748,5.987606154782481,16.52890949514268,11.558894824983884,30.19653672965321,16.294295550423264,27.91946273048692,7.593839382656492,8.103701091505837,6.770732288985448,3.649337969278404,9.880079836757464,2.886904260713812,6.185887478305367,1.0532682825781223,16.374306564552604,4.348179685724839,6.849824737182082,0.0244488818748736,10.523212216766714,0.0003265384261931,0.0,0.0,27065421850.33752,3550928254.4161434,23514495058.94374,7023531.953403425,80245601416.91783,29833754480.7048,1.0275286666717085,2792.7292,0.0009,1.6966963353711102,1.1118630753714365,1.56187921212772,2.0118953488840035,0.6618469386151529,0.2118308018588692,3220.559644114647,4524.05091146652,5827.542178818393,1917.0683767627736,24036815806.95505,2896.543392304637,0.5644833016202351,3099.664629586041
2017-09-09,4326.32675432425,3415.277394269439,368.82999361483104,1637.5184850058697,853.7503742368102,2901.393080261297,3023.5713255065493,2576.301713687347,2297.080094090352,1660.7427368123642,749.4811784969369,2797.4737374230817,1.54651201777125,1.016457106887584,6.831935195034745,1.0023888900894566,35175131.718817405,0.6214991196933664,0.2105826517019776,0.9147475411453428,14242.358019303358,6111.873727135838,2.330276876642484,0.0753746147524178,2729.2596676178896,0.002272876938167,0.0009753677603503,0.0012975091778166,,,5.1,0.76,0.68,0.0,29221.0,6665.0,4100.0,8668.0,9660802.500651784,6894474.794650628,100.0,74.2241966736342,0.0,25.7758033263659,89.26508147924079,10.734314487409902,2.642001781316528,1.2667570609589367,11.729866955566068,4.028384912254577,,1213702.3119634,-2667.415556449984,6065.52624389001,8732.941800339993,5.827833508409738,16.753019522295247,2.874656507966492,1.6039006761413406,4.237482553762717,6.130044714749724,16.753019522295247,11.439169528239995,30.20476050537713,16.62759195423741,28.627158391089164,7.635782327745518,8.226359846141808,6.769225865251048,3.653239489846617,9.81587754284994,2.874656507966492,6.227691984763798,1.0549315905891583,16.37190423903459,4.343599945631567,6.84530061989555,0.024465190086717,10.53351054709072,0.0003264572138218,0.0,0.0,27109736347.30416,3563193724.6295414,23546543911.530724,7285308.544135109,79456223721.6694,29911425431.1008,1.0537319707681625,2797.4737,0.0011,1.679291265214749,1.1121636705440223,1.562412094688453,2.012660518832884,0.6619152463995917,0.2116668222551609,3226.8239778344314,4533.171640045636,5839.519302256841,1920.4763156232268,24071990938.673878,2901.393080261297,0.5643904289102378,4210.003325816244
