date,btc_price,aviv_ratio,aviv_mean,aviv_upper_1sd,aviv_upper_2sd,aviv_lower_1sd,aviv_lower_2sd,price_at_aviv_mean,price_at_aviv_plus_1_sigma,price_at_aviv_plus_2_sigma,price_at_aviv_minus_1_sigma,investor_cap,active_realized_price,liveliness
2019-09-20,10296.949839127,1.249526,1.2155104890410948,1.6450295562842865,2.074548623527478,0.7859914217979032,0.3564723545547114,11396.55634400024,15423.702382469322,19450.848420938404,7369.410305531158,89290142625.47531,9375.94241,0.6114647835296991
2019-09-21,10125.0649029007,1.227899,1.215940313698629,1.6451574618489544,2.0743746099992797,0.7867231655483038,0.3575060173979786,11405.748070504944,15431.885376909415,19458.022683313888,7379.610764100471,89295978968.35562,9380.18745,0.611275953402792
2019-09-22,10085.1330602805,1.229983,1.2163718335616427,1.6452860764359833,2.074200319310324,0.787457590687302,0.3585433478129615,11414.926646558148,15440.03186930787,19465.13709205759,7389.821423808425,89294153443.32536,9384.4056,0.6110426171095709
2019-09-23,9865.87460853742,1.19747,1.2167726547945195,1.645395512777719,2.0740183707609186,0.78814979681132,0.3595269388281206,11417.793398312033,15439.848972097641,19461.90454588325,7395.737824526423,89271615513.20804,9383.67028,0.6109919261027944
2019-09-24,8772.43391367457,1.036015,1.217062686301369,1.6454197882104795,2.07377689011959,0.7887055843922582,0.36034848248314755,11414.749951469394,15432.28270739338,19449.81546331737,7397.217195545405,89292677564.70541,9378.93346,0.6114694076607581
2019-09-25,8593.33456543955,1.036806,1.2173538863013689,1.6454437556069041,2.0735336249124394,0.7892640169958336,0.3611741476902982,11370.853095324414,15369.482475199582,19368.111855074752,7372.223715449245,88863509403.84212,9340.63071,0.6114497257544619
2019-09-26,8219.82403541841,1.001318,1.2176234993150676,1.6454531876484746,2.0732828759818815,0.7897938109816607,0.36196412264825384,11338.85576981454,15322.927309815226,19306.998849815915,7354.784229813852,88539553205.85814,9312.28395,0.6114069199470209
2019-09-27,8375.17846754462,1.006711,1.2178848616438347,1.6454689957689763,2.0730531298941184,0.790300727518693,0.3627165933935512,11335.460195428199,15315.198416355048,19294.9366372819,7355.721974501351,88474686476.04872,9307.49741,0.6113564096387295
2019-09-28,8395.21296352117,1.01474,1.2181572636986293,1.645485132194467,2.0728130006903047,0.7908293952027916,0.363501526706954,11333.066900377182,15308.690956793798,19284.315013210417,7357.4428439605645,88401377032.20372,9303.4514,0.6112129351242327
2019-09-29,8181.09311495935,0.994164,1.2184166486301362,1.6454934676751374,2.072570286720138,0.7913398295851352,0.3642630105401341,11334.706137226138,15307.723288082443,19280.740438938745,7361.688986369834,88365383326.13637,9302.8162,0.6110636288863956
2019-09-30,8313.71979249385,1.028379,1.218695829452054,1.6455150259159061,2.0723342223797583,0.7918766329882019,0.36505743652434985,11332.011130646568,15300.778207889023,19269.545285131477,7363.244053404114,88305584619.90952,9298.47371,0.6110141611899931
2019-10-01,8399.89134533326,1.034446,1.2189802253424649,1.6455381458029708,2.0720960662634766,0.7924223048819591,0.3658643844214533,11330.146558313441,15294.906325494363,19259.666092675285,7365.38679113252,88236744013.83054,9294.7747,0.6108737499303057
2019-10-02,8579.7918565564,1.035693,1.219261890410958,1.6455628399135822,2.0718637894162066,0.7929609409083338,0.3666599914057095,11331.852332112157,15293.904658027719,19255.95698394328,7369.800006196598,88196545542.13512,9294.02651,0.6107108323809706
2019-10-03,8421.93643888283,1.021017,1.2195336582191771,1.645581590062144,2.071629521905111,0.7934857263762104,0.36743779453324366,11331.896678824576,15290.730542353507,19249.564405882436,7373.062815295647,88143797600.99434,9291.99174,0.61055701270297
2019-10-04,8328.35883521631,1.019325,1.2198022767123278,1.6456001876619966,2.0713980986116654,0.794004365762659,0.3682064548129903,11333.162887186787,15289.244273444525,19245.325659702263,7377.081500929048,88104326117.65489,9290.98355,0.6104141578798015
2019-10-05,8340.82820462157,1.010603,1.2200542972602728,1.6456193586333088,2.071184420006345,0.7944892358872367,0.3689241745142007,11338.419249874134,15293.353956289528,19248.288662704927,7383.484543458738,88090836311.7776,9293.37266,0.6102053617310714
