date,btc_price,median_realized_price,median_mvrv,source
2017-10-01,4358.04372928243,842.6696452125948,5.171710828842008,official
2017-10-02,4386.54339726068,847.7699551317447,5.174214267335063,official
2017-10-03,4319.5678414086,852.2764035267163,5.0682710720773745,official
2017-10-04,4223.88082475357,855.2185953500824,4.938948764350161,official
2017-10-05,4305.02353199075,876.2776660295556,4.912853195833417,official
2017-10-06,4357.59934637826,888.8711970311532,4.902396838746407,official
2017-10-07,4400.47892719142,899.5013885703088,4.8921313330996155,official
2017-10-08,4580.83036768192,905.4343065270035,5.059263090276226,official
2017-10-09,4764.27538380713,912.5511105937248,5.220831281118483,official
2017-10-10,4778.06326836388,917.1712595118252,5.209564973620148,official
2017-10-11,4815.20126853391,919.4954745947636,5.236786261135267,official
2017-10-12,5475.47001297733,923.4710751630336,5.929227411925887,official
2017-10-13,5656.28951855579,929.0249250682565,6.088415246921622,official
2017-10-14,5824.80067993663,931.3066258798945,6.254439212685064,official
2017-10-15,5707.32922727491,937.0148186819989,6.090970082311841,official
2017-10-16,5732.35322660574,945.230639536331,6.064502129784602,official
2017-10-17,5608.42665068248,951.9319880836289,5.891625369132747,official
2017-10-18,5576.42268303297,955.1040175761674,5.838550126911452,official
2017-10-19,5689.87224744511,961.506689485138,5.917662674288714,official
2017-10-20,5981.3740854712,963.9806140661433,6.204869681187167,official
2017-10-21,6033.14066647698,966.2105205266571,6.244126448952829,official
2017-10-22,5999.302650589,973.4057952874379,6.163208273089705,official
2017-10-23,5943.65122104403,981.014051710825,6.058681025698548,official
2017-10-24,5525.7993709207,984.3481695760535,5.613663479763053,official
2017-10-25,5720.55354771111,988.154931882568,5.789126141193958,official
2017-10-26,5883.83673567473,990.784462235781,5.938563794588989,official
2017-10-27,5772.01157687137,992.5031154598099,5.815610537602489,official
2017-10-28,5723.17900767833,994.2705115995024,5.756158853058349,official
2017-10-29,6072.88396560214,997.8563031048376,6.085930355609635,official
2017-10-30,6087.09820176483,1001.2680176491666,6.079389428673116,official
2017-10-31,6447.63054018746,1005.3761286901553,6.413152606465497,official
2017-11-01,6768.95603735447,1015.5380918657652,6.66538861670705,official
2017-11-02,7091.99049794717,1021.8295185110796,6.940483093775757,official
2017-11-03,7197.66108119763,1026.9101975266267,7.0090462618188205,official
2017-11-04,7389.03716901761,1030.5537071867511,7.1699680642443315,official
2017-11-05,7416.71291711207,1041.0127996659357,7.124516547243334,official
2017-11-06,7062.26774361836,1043.315678085835,6.769061264923633,official
2017-11-07,7169.47315081107,1050.3311730864439,6.825916753230565,official
2017-11-08,7475.55819837755,1054.2194808498875,7.091083340967032,official
2017-11-09,7189.23798300573,1057.8597431105154,6.796021901605405,official
2017-11-10,6583.42449155565,1066.1129592281632,6.175165993969223,official
2017-11-11,6349.98071708737,1074.7597836714572,5.908279053199569,official
2017-11-12,5884.74759108919,1122.8477570829823,5.240913163844247,official
2017-11-13,6568.28786114009,1165.504040090439,5.635577085284418,official
2017-11-14,6661.65090945777,1176.1398219169037,5.663995713197123,official
2017-11-15,7346.22147932253,1186.1455155412336,6.193356028472171,official
2017-11-16,7849.97978365187,1206.817025898024,6.504697576511647,official
2017-11-17,7716.35842229273,1217.0055543713836,6.340446347657336,official
2017-11-18,7790.48311951353,1221.4972246536722,6.377814834349988,official
2017-11-19,7998.42300612489,1225.5013849758805,6.5266535837348805,official
2017-11-20,8204.45602114418,1235.1079767002004,6.642703452587012,official
2017-11-21,8111.82125716654,1241.3054059483864,6.534911729453816,official
2017-11-22,8236.49247784763,1243.9959046623305,6.62099645744681,official
2017-11-23,8035.37923615236,1247.6179521150498,6.440576798795031,official
