date,bucket_min,bucket_max,price_bucket,btc_amount,percentage,cumulative_pct,in_profit,avg_age_days,utxo_count
2026-09-18,4992.1584,5241.766320000001,$5k-$5k,15310.834809580005,0.0762267401634693,21.580257306564203,True,2705.887134166177,335748
2026-09-18,5241.766320000001,5491.37424,$5k-$5k,16011.435138119992,0.0797147589335917,21.6599720654978,True,2719.135615785698,323144
2026-09-18,5491.37424,5740.9821600000005,$5k-$6k,44481.76321991998,0.2214575396539608,21.881429605151755,True,3008.3570478974075,345907
2026-09-18,5740.9821600000005,5990.59008,$6k-$6k,27296.971603719987,0.1359010914535131,22.01733069660527,True,2972.477813289907,194306
2026-09-18,5990.59008,6240.198,$6k-$6k,23695.130778160008,0.1179689154399396,22.135299612045213,True,2888.681012252348,285659
2026-09-18,6240.198,6489.80592,$6k-$6k,74973.82534089999,0.3732657542452375,22.508565366290448,True,2888.949154336029,839075
2026-09-18,6489.80592,6739.413840000001,$6k-$7k,73411.96594232999,0.3654898588073105,22.87405522509776,True,2888.329020103052,619818
2026-09-18,6739.413840000001,6989.0217600000005,$7k-$7k,26578.300560040003,0.1323231055637218,23.00637833066148,True,2728.8611331975653,350157
2026-09-18,6989.0217600000005,7238.629680000001,$7k-$7k,104265.65111968998,0.5190984550955112,23.525476785757,True,2651.219147054603,570432
2026-09-18,7238.629680000001,7488.2376,$7k-$7k,40114.22182996997,0.1997132359092293,23.725190021666226,True,2736.550405214459,659491
2026-09-18,7488.2376,7737.845520000001,$7k-$8k,22543.77228024998,0.1122367456303434,23.837426767296567,True,2740.4615093914863,467476
2026-09-18,7737.845520000001,7987.45344,$8k-$8k,37080.19427472,0.1846079831271838,24.02203475042375,True,2702.390386710036,697173
2026-09-18,7987.45344,8237.06136,$8k-$8k,56094.72388671999,0.279273990963518,24.301308741387267,True,2753.2868801416544,802273
2026-09-18,8237.06136,8486.669280000002,$8k-$8k,54807.31680791,0.2728644877521283,24.5741732291394,True,2761.98475331704,517281
2026-09-18,8486.669280000002,8736.2772,$8k-$9k,48136.19525292999,0.2396515470016866,24.81382477614108,True,2653.48821706668,623146
2026-09-18,8736.2772,8985.88512,$9k-$9k,41020.65176672999,0.204226000897234,25.018050777038315,True,2603.196122457813,524459
2026-09-18,8985.88512,9235.49304,$9k-$9k,50932.53401979,0.2535734389978762,25.271624216036187,True,2512.622803869671,706005
2026-09-18,9235.49304,9485.100960000002,$9k-$9k,59578.588246610016,0.296618807665475,25.56824302370166,True,2503.280606465324,726764
2026-09-18,9485.100960000002,9734.70888,$9k-$10k,42191.42347514001,0.2100548215930115,25.77829784529468,True,2515.025058817899,649264
2026-09-18,9734.70888,9984.3168,$10k-$10k,61657.467067389975,0.3069687433596268,26.0852665886543,True,2619.0416528671794,514667
2026-09-18,9984.3168,10233.92472,$10k-$10k,27598.83307544,0.1374039432742229,26.222670531928514,True,2587.377527811751,575013
2026-09-18,10233.92472,10483.53264,$10k-$10k,27980.59537681001,0.139304590502977,26.36197512243149,True,2536.6241053613285,576610
2026-09-18,10483.53264,10733.14056,$10k-$11k,53480.678148100014,0.2662596656330316,26.628234788064525,True,2592.024188593321,551597
2026-09-18,10733.14056,10982.74848,$11k-$11k,23646.639859979983,0.1177274978643229,26.745962285928847,True,2624.8435728123013,423685
2026-09-18,10982.74848,11232.3564,$11k-$11k,21306.039442670008,0.1060745513035541,26.8520368372324,True,2822.212437517982,406115
2026-09-18,11232.3564,11481.96432,$11k-$11k,36287.452451019984,0.1806612273974384,27.03269806462984,True,2556.6843899057185,554121
2026-09-18,11481.96432,11731.57224,$11k-$12k,40825.55611241,0.2032546948950578,27.235952759524896,True,2556.5092052014,468314
