date,btc_price,mvrv_ratio,sth_mvrv,lth_mvrv,mvrv_zscore
2019-04-21,5337.6091408747,1.205493488230173,1.2628350200825007,1.1835198895116967,0.31543546170762987
2019-04-22,5400.05350755681,1.2191344232224695,1.274037859845446,1.197944332099582,0.33649290051298536
2019-04-23,5531.47024426132,1.2476064093269765,1.3005842722734648,1.2271634016146855,0.3805556325864963
2019-04-24,5483.76046780149,1.2379381159282998,1.280551107619575,1.2211907633141985,0.36536665987025
2019-04-25,5249.18929448947,1.18551578416451,1.226323096761341,1.1694827696716403,0.284742100086459
2019-04-26,5322.29779541486,1.2029287764545642,1.2393806738617932,1.1884401692925903,0.3112343131025753
2019-04-27,5340.89786865256,1.2071331257822497,1.242494743657339,1.1931142969244148,0.3176775527187045
2019-04-28,5337.70389905222,1.2062823909736464,1.2401859843242748,1.192829493711248,0.31640770651883304
2019-04-29,5291.10885959494,1.1962513687062721,1.2271738617993981,1.183917758710382,0.3008990436125202
2019-04-30,5344.85834670001,1.2078210527814,1.2365963487225191,1.1963335257371095,0.31878743071723853
2019-05-01,5375.46491125081,1.2185189578817877,1.2377518177032294,1.2107316186001786,0.3341587109485338
2019-05-02,5456.81042563287,1.236810291839222,1.2534580648586677,1.2300534118304807,0.36217387487509795
2019-05-03,5667.70236447104,1.283545637275721,1.2969634417814822,1.2780764482100884,0.433987143048522
2019-05-04,5776.10718265489,1.3073822925677983,1.317011242156158,1.3035410803926308,0.4706886430121141
2019-05-05,5722.09485614861,1.2944204384261582,1.3015245227814844,1.2916208014528248,0.451062581642599
2019-05-06,5658.92001967066,1.2787534469462685,1.2816202271752197,1.277613054052474,0.42749806770436133
2019-05-07,5778.24668377325,1.3047592487005746,1.298044977430844,1.30736055700291,0.46768397563301256
2019-05-08,5908.27277938115,1.3325444410427922,1.3116307205567581,1.340133310397913,0.5108812246226349
2019-05-09,6190.46087411392,1.39439696460089,1.353852596927415,1.4087874147696982,0.6065995602191842
2019-05-10,6406.06908978169,1.4412028653163733,1.3742873519792138,1.4648194510020256,0.679287106004918
2019-05-11,7213.53563703165,1.6147928452267286,1.5132701805137285,1.6514772932746362,0.9509521274813205
2019-05-12,6974.96389009358,1.5576759540047302,1.4481852705043514,1.5977706379179333,0.8644212158859784
2019-05-13,7812.05249225103,1.7337042465996466,1.5836846591155351,1.7904324622766117,1.1439168797687849
2019-05-14,7940.89916207039,1.7515327952837767,1.574853393374786,1.8207666275544647,1.1783387090073065
2019-05-15,8185.612078301,1.793675163240901,1.5800703183305973,1.8808204668889184,1.2519373252473929
2019-05-16,7880.78162424521,1.7162235010810991,1.4869102184046348,1.8122439680819962,1.1362383285431845
2019-05-17,7346.50338002963,1.6001493075006044,1.3835840584674426,1.690939460093893,0.9515940044353497
2019-05-18,7274.87529931839,1.5841353089808645,1.3667892869515816,1.6753962650125165,0.926132935045787
2019-05-19,8064.34059800395,1.7523197848260752,1.5023695312099028,1.8584640881447645,1.1947181120939196
2019-05-20,7970.34883881234,1.7293337942462161,1.4735262129482867,1.8392859012980267,1.1593720908228216
2019-05-21,7954.64992358859,1.7234021066195837,1.458225151262149,1.838848855270051,1.151071981863781
2019-05-22,7632.90468102737,1.6532861210640444,1.3924348065109378,1.7678030160730935,1.039346756504564
2019-05-23,7863.49008957199,1.7009428538145066,1.426171057051711,1.8221247097113842,1.1161575016043674
2019-05-24,7902.01080299532,1.7061511158945468,1.4229499047662104,1.8318388729499642,1.1259839649700258
2019-05-25,7922.65299069228,1.708757391310268,1.4216043463584218,1.836680252189991,1.1308211988797907
2019-05-26,8745.39196800206,1.8814332510957181,1.5552170781728838,2.0283528547499237,1.4089575642527115
