date,btc_price,apparent_demand
2011-10-26,2.7719393343631,-20809.005554188043
2011-10-27,3.04000286256526,-3692.1526724109426
2011-10-28,3.18999494930753,1345.9241868378595
2011-10-29,3.58218725511097,2776.1171317901462
2011-10-30,3.26997448210414,5323.069084930234
2011-10-31,3.24798760149804,1475.9089805036783
2011-11-01,3.15051282640229,6888.463224177249
2011-11-02,3.25438684809148,5392.050798472017
2011-11-03,3.15281914096181,6571.044030106626
2011-11-04,3.10939575916864,4537.958689088002
2011-11-05,2.97066680503104,4710.892809162848
2011-11-06,2.95959128514113,4507.28017945122
2011-11-07,3.00663242967395,4830.414776748046
2011-11-08,3.03810818870284,-5524.510613285005
2011-11-09,2.95023643792463,8202.63145693019
2011-11-10,2.85336224454728,4386.610046615824
2011-11-11,3.07798387122402,1498.5117749562487
2011-11-12,3.03064956103315,9844.252351671457
2011-11-13,2.99615694356633,5494.609703020193
2011-11-14,2.20542608391247,8632.351762995124
2011-11-15,2.32896063554438,10233.70797946211
2011-11-16,2.55972290726202,2546.2480478379875
2011-11-17,2.25046676424942,10993.170225569978
2011-11-18,2.05013528348141,3027.2787878829986
2011-11-19,2.19685339803816,3746.6196288727224
2011-11-20,2.20001908809534,9488.667855795473
2011-11-21,2.29142270053575,8894.69308204297
2011-11-22,2.32913510871054,9364.567161331885
2011-11-23,2.33208129499983,5629.238558276556
2011-11-24,2.43209841286278,9018.978491400369
2011-11-25,2.4994481691205,3940.805027069524
2011-11-26,2.47003009406009,4512.15625711903
2011-11-27,2.47966340289907,4337.376918910071
2011-11-28,2.54999904333796,7181.033116742037
2011-11-29,2.75241562713822,9302.76659220457
2011-11-30,2.97009354656052,-7826.890344805084
2011-12-01,3.06007573288627,9861.657750747167
2011-12-02,3.11250071814405,4684.472098821774
2011-12-03,2.79399916069424,6173.8667407520115
2011-12-04,2.82809507395967,9174.505122628994
2011-12-05,2.87980231964535,8443.936177972704
2011-12-06,3.03198962364392,6734.384553026408
2011-12-07,2.99039787304643,2281.6112910090014
2011-12-08,2.98068494080677,11349.657603292726
2011-12-09,2.96788785470687,5918.174871515483
2011-12-10,3.05396817839333,6896.525545894168
2011-12-11,3.25143431726448,13439.599043007009
2011-12-12,3.13936794921857,4103.399421297945
2011-12-13,3.24990041579457,4755.082483065315
2011-12-14,3.14999922175901,6189.625783758238
2011-12-15,3.19984457536862,3869.2589439945295
2011-12-16,3.19998720709652,6946.233451473527
2011-12-17,3.20009408654416,6120.565354610793
2011-12-18,3.19253697056183,-701.781701343134
2011-12-19,3.52337871277933,-19125.79819793161
2011-12-20,3.9387060131466,9779.156725685112
2011-12-21,3.88919481561637,3066.4396057100967
2011-12-22,3.90373704200702,5983.055486670695
2011-12-23,3.94744043028985,6013.958225835115
2011-12-24,3.94001791703116,1606.4248005868867
2011-12-25,4.22570745461681,7505.1670672809705
2011-12-26,4.01600745966174,9647.975389166735
2011-12-27,4.07350978050136,5284.264175534248
2011-12-28,4.18552555240761,6645.473190817051
2011-12-29,4.16626044734033,5667.550186322071
2011-12-30,4.25149673586927,6926.266900458373
2011-12-31,4.70647665714905,6295.299110331573
2012-01-01,5.27179259765011,7051.361924518831
2012-01-02,5.21677918497317,1314.1858287900686
2012-01-03,4.88053092511399,6482.837358932942
2012-01-04,5.5835152418696,6313.3906856691465
2012-01-05,6.93335967175215,-3007.6664429111406
2012-01-06,6.69644870639156,7670.921759928577
2012-01-07,6.80872473599322,8033.697996334173
2012-01-08,7.11248788330686,5528.26697309874
2012-01-09,6.32542500049992,7188.6771783307195
2012-01-10,6.39608130095411,2882.1916129374877
2012-01-11,6.8991433026419,4537.805101654492
2012-01-12,6.79998762459086,7596.180498756468
2012-01-13,6.41055631114327,-377.56748041696846
2012-01-14,6.75018892743933,-14067.7600984741
2012-01-15,7.00433279619814,3668.3161174608395
2012-01-16,6.67847296185596,5627.6367709049955
2012-01-17,5.5788822277304,-15834.393255781382
2012-01-18,5.91951484172343,4967.472864532843
2012-01-19,6.36100944447224,6460.547414448112
2012-01-20,6.48987405600894,4899.257620963268
2012-01-21,6.1805785022373,6830.701115635224
2012-01-22,6.31302353872802,4190.62324093841
2012-01-23,6.3573304296432,5714.108393362723
2012-01-24,6.29455858484214,5882.768220664002
2012-01-25,5.77544800941673,6481.765690551139
2012-01-26,5.34264247426401,-122.91325109824538
2012-01-27,5.29018710597449,5721.906987201422
2012-01-28,5.62667335637204,6077.342039953917
2012-01-29,5.38150271853964,4770.079674914479
2012-01-30,5.49030929629631,7467.530342942104
2012-01-31,5.4898990864953,2556.874957082793
2012-02-01,6.07740974524778,-3776.525606015697
2012-02-02,6.10119269354221,6652.697843541391
2012-02-03,5.96033301804655,2464.17706019897
2012-02-04,5.87344679441131,4818.968178105541
2012-02-05,5.68910716704684,5054.420749487355
2012-02-06,5.45876972921661,4553.311093793251
2012-02-07,5.68954404828208,3145.198759863153
2012-02-08,5.6001016299289,4405.329091528431
2012-02-09,5.84041812125845,3708.5465265158564
2012-02-10,5.92145820833532,-3334.1061579212546
2012-02-11,5.60088311628475,20520.429103945382
2012-02-12,5.51739769423319,3659.649019758217
2012-02-13,5.26290253513761,4159.611458330415
2012-02-14,4.4646743170684,2362.5927195297554
2012-02-15,4.28882010170706,2286.140094832517
2012-02-16,4.2686894742755,5225.4759230371565
2012-02-17,4.38493109461501,5942.990478848107
2012-02-18,4.22698924309402,3992.4357070159167
2012-02-19,4.38669213569518,5396.1289377445355
2012-02-20,4.36824826393399,-5088.99748550076
2012-02-21,4.27878254973508,4663.383876826614
2012-02-22,4.42881509825389,4014.6283532287925
2012-02-23,5.00376799132438,5097.3988835811615
2012-02-24,5.02717828094935,5626.358771681786
2012-02-25,4.78826436000485,3449.790184644051
2012-02-26,4.92204326478047,3398.9520465079695
2012-02-27,4.95750983434329,4799.741050926037
2012-02-28,4.86795614101681,-20641.78774110973
2012-02-29,4.86470496223639,-169521.95568384696
2012-03-01,4.92389180193582,-138772.4899926586
2012-03-02,4.70498902941796,3413.9123942628503
2012-03-03,4.61436710560607,-750.5195389138535
2012-03-04,4.82133378796,5442.708748392761
2012-03-05,4.98413729242482,2733.965391249396
2012-03-06,4.99076716913043,2797.8884465256706
2012-03-07,4.97732821644417,6373.524557914585
2012-03-08,4.93321266283463,6702.559170638211
2012-03-09,4.8650903986118,7832.312165736221
2012-03-10,4.85096359535494,6478.029975854792
2012-03-11,4.90941762885918,-12752.91033830028
2012-03-12,4.89004322330743,6026.006709699519
2012-03-13,5.26943210924398,-9054.679402240552
2012-03-14,5.3846357454765,-914.5739970616996
2012-03-15,5.32656972768021,-2639.004384526983
2012-03-16,5.35345001423982,4314.179460575804
2012-03-17,5.21741678949531,-3378.184519986622
2012-03-18,5.27943295663821,5646.648974752985
2012-03-19,4.6970265750615,6004.906953783706
2012-03-20,4.83790644948875,1505.3467374956235
2012-03-21,4.81806101183518,4404.798467458226
2012-03-22,4.70430676208447,6926.601395932026
2012-03-23,4.69139732915487,305.67455670330673
2012-03-24,4.65514518120598,6901.657987378538
2012-03-25,4.55001171479809,7103.025244822726
2012-03-26,4.62275101106778,3821.7722949022427
2012-03-27,4.81500632038815,6115.669283946976
2012-03-28,4.78867894745028,6261.545205134898
2012-03-29,4.80821605411478,1263.3122716676444
2012-03-30,4.85845661451339,6242.962066792883
2012-03-31,4.90873256423612,6589.169629410841
2012-04-01,4.82285438453406,-14530.579160669819
2012-04-02,4.97400279171384,4331.500743042678
2012-04-03,4.95212809747347,4879.880811713636
2012-04-04,4.91826265565012,5299.275811201893
2012-04-05,4.91899461498059,6948.535149355419
2012-04-06,4.94667266496811,7540.78479947336
2012-04-07,4.69146131169882,4200.440722294152
2012-04-08,4.79252438258725,6843.504915951751
2012-04-09,4.87190919295764,7228.093745360151
2012-04-10,4.82551997487777,4985.354711055756
2012-04-11,4.92778548514172,7747.965272004716
2012-04-12,4.91969430382496,11713.556480518542
2012-04-13,4.93628936377485,6576.724904438481
2012-04-14,4.95970445206548,1479.1300163138658
2012-04-15,4.96891910058534,5397.683491052128
2012-04-16,4.93201158873195,9340.167118040845
