date,btc_price,lth_supply_btc,sth_supply_btc,pct_lth_in_profit,pct_sth_in_profit,pct_lth_in_loss,pct_sth_in_loss,percent_btc_in_profit,percent_btc_in_loss
2023-12-23,43761.49796539,16215266.219285794,3363573.575679642,87.65509338930976,88.74101185894291,12.344906610692014,11.258988141054894,87.84120158505817,12.15828766202546
2023-12-24,43043.6663501508,16203929.627436832,3375978.917529468,87.36246194857327,78.81179071798576,12.637538051428232,21.188209282025642,85.88771172129282,14.111777553676669
2023-12-25,43611.5247374747,16202763.527534643,3378013.767431786,87.62529414727967,85.85583565556645,12.374705852722691,14.144164344444349,87.31958681937896,12.67990247825018
2023-12-26,42539.1184136361,16204157.601001881,3377488.443963646,87.16783658157667,80.03224064550746,12.832163418427184,19.967759354496952,85.93663331993963,14.062856000340531
2023-12-27,43471.753257475,16164854.716494076,3417597.5784726418,87.57600553690665,81.69170019084773,12.42399446309562,18.30829980914741,86.54861416321592,13.45087517809439
2023-12-28,42605.1593740229,16159924.107914824,3423284.4370517856,87.21515152273547,73.91511040194591,12.784848477265681,26.084889598065843,84.88977605352154,15.10971330751276
2023-12-29,42092.6334867548,16177429.877759276,3406722.4172070385,87.0080555248591,72.27139205772723,12.991944475143455,27.728607942280835,84.44413723795722,15.555352147680198
2023-12-30,42154.0589758333,16287731.62022962,3297326.924736516,87.11419341675695,72.28559744015904,12.885806583246035,27.71440255985349,84.61722919370925,15.382260215557356
2023-12-31,42294.1598555961,16285006.913044997,3301026.6319216783,87.20539723888105,71.96894601120458,12.794602761120194,28.031053988802473,84.63701631248784,15.36247312219701
2024-01-01,44203.7020721423,16284258.761334917,3302743.5336322254,88.10967364390471,96.59843477676804,11.890326356098065,3.40156522323254,89.54058412521182,10.458905334725245
2024-01-02,44974.7685212193,16276487.780928876,3311333.2640382964,88.58034489588537,94.51150568756312,11.419655104116199,5.488494312439803,89.5825539584935,10.41693552278349
2024-01-03,42882.9772875105,16263468.881325519,3325339.6636417573,87.48748607677442,80.67893577901285,12.51251392322607,19.321064220995282,86.33124549021821,13.66824401679706
2024-01-04,44255.4798441317,16071674.578674013,3518196.466293184,87.97090016515952,86.05501226703844,12.029099834841642,13.944987732966622,87.62637351384873,12.373116020853226
2024-01-05,44334.8715679845,16053506.738245102,3537226.8067222093,88.03738312157257,97.81419752001696,11.962616878429195,2.1858024799844817,89.80218838911934,10.197301168055265
2024-01-06,43997.8710233057,16053759.751577057,3537848.7933898494,87.89007885764958,78.48038707468984,12.10992114235131,21.519612925320377,86.19043864238095,13.809050937589548
