date,btc_price,daily_realized_profit_btc,daily_realized_loss_btc,rpl_ratio,sth_pl_ratio,lth_pl_ratio,rrp,rrl,relative_realized_pl
2012-11-07,10.9377101759863,7198.150119378205,1913.453238315739,3.761863616648487,2.378209966941667,6.055931924533244,0.0011106596618683923,0.0002952418734568318,0.0008154177884115606
2012-11-08,10.9242795962457,3441.450146874695,1392.7773297040937,2.470926309236996,2.2772121725491017,2.670981030774904,0.0005295610406363884,0.00021431680850082208,0.0003152442321355663
2012-11-09,10.8104204223338,3158.7834801921636,3765.9957822631022,0.8387644763356463,0.6715933424695646,0.9831596948960272,0.00048048785800900085,0.0005728519406402772,-9.236408263127639e-05
2012-11-10,10.8347859987849,1568.0150983974484,1295.5155888241984,1.2103405871175728,0.6660936123158737,2.8080039075571754,0.00023877882691259887,0.00019728234304796044,4.149648386463843e-05
2012-11-11,10.8659331506974,4564.569453827044,2073.1361081081377,2.2017702725714856,2.3513093376752128,2.175382908860653,0.0006960485610941346,0.00031613132839749327,0.0003799172326966413
2012-11-12,11.0171473552111,10090.565486846925,575.3754883746436,17.537357240141354,11.199959253429718,21.689262134513672,0.0015562409044274715,8.873862139646577e-05,0.0014675022830310056
2012-11-13,11.0053105442411,7492.740679285052,1607.9969074802978,4.659673563070492,8.276392433395761,3.1122571574333886,0.0011520572504473913,0.0002472399052967657,0.0009048173451506256
2012-11-14,10.9628790198881,3449.662778399065,1607.63644924177,2.1457978139436147,2.1218128495299595,2.1586999917167047,0.0005276365145345187,0.0002458929313404471,0.0002817435831940716
2012-11-15,11.1959710255672,8503.833720682269,841.7872007240693,10.102118104632186,24.52268023894099,4.208344713142912,0.0013253479294332393,0.00013119505391899144,0.0011941528755142479
2012-11-16,11.7457475690456,24428.033560601554,267.8612168791609,91.19660488820101,2526.343482220958,34.48557987215448,0.003973722525680455,4.3573141023746315e-05,0.003930149384656708
2012-11-17,11.7847577411786,9301.052372591053,1597.9964805892225,5.820446093324008,13944.57855473858,1.468574637834172,0.001514398773457851,0.0002601860319941544,0.0012542127414636966
2012-11-18,11.6399479971305,5529.367778865208,2055.8491094547207,2.6895786044977683,1.748734010910409,29.379272353356626,0.0008876922806285611,0.0003300488333540719,0.0005576434472744892
