date,btc_price,realized_cap_usd,lth_realized_cap_usd,sth_realized_cap_usd
2014-07-14,619.196062352768,4657704646.68091,2206881506.6222,2450823152.960282
2014-07-15,620.855859938569,4661440672.48773,2215354615.09926,2446086028.989559
2014-07-16,617.304554188424,4664272123.00292,2228917428.52323,2435354700.465068
2014-07-17,623.603995872464,4669377149.42848,2235769857.64313,2433607357.92266
2014-07-18,630.816186224942,4674212615.36226,2239284079.26356,2434928600.570812
2014-07-19,630.706883563829,4676311026.82735,2237766596.43219,2438544448.1216373
2014-07-20,624.458917838067,4679752953.9281,2244499845.85302,2435253116.567339
2014-07-21,620.145118753808,4686345336.82193,2251663432.08309,2434681883.476224
2014-07-22,618.977125810173,4689479003.53568,2263413369.3274,2426065717.096411
2014-07-23,619.182306571221,4695916004.26036,2290705936.0867,2405210046.878038
2014-07-24,603.513866536365,4698406727.66477,2294156327.20495,2404250409.1326823
2014-07-25,600.100180749828,4701061079.72644,2299334339.68475,2401726659.7780423
2014-07-26,593.917773411456,4702710183.75383,2303006906.82711,2399703293.373754
2014-07-27,590.61497745839,4705111693.81023,2307084163.03244,2398027522.793281
2014-07-28,583.89966013582,4706076600.12315,2308396298.41257,2397680224.191774
2014-07-29,583.062587976733,4706352944.86285,2307250022.10907,2399102883.251725
2014-07-30,567.231362288795,4705722896.96096,2339920269.55312,2365802585.6211042
2014-07-31,579.830029413032,4709634712.93168,2346229151.52215,2363405578.186309
2014-08-01,594.711046101146,4717540180.67112,2350998115.42297,2366542024.781087
2014-08-02,588.869726840964,4720769516.94184,2366841597.64507,2353927879.951607
2014-08-03,586.97038413595,4722565104.19359,2377410043.80911,2345155013.112606
2014-08-04,586.57096032065,4728723463.44686,2390681177.31697,2338042254.403792
2014-08-05,582.866688560504,4756737958.9393,2403406004.62297,2353331973.268032
2014-08-06,583.015130862117,4759972110.90982,2454254555.90934,2305717559.243887
2014-08-07,587.179047747364,4763800117.36655,2486515629.46894,2277284450.462166
2014-08-08,590.191442838535,4766924897.41725,2516404239.60766,2250520639.307137
2014-08-09,589.219350407157,4771010333.16699,2528484591.33801,2242525767.384805
2014-08-10,588.449022154351,4774402280.30949,2531068617.41168,2243333655.110027
2014-08-11,572.045679467045,4775921329.45574,2536316919.65422,2239604422.3011622
2014-08-12,569.811335708352,4778193225.55436,2547617435.4142,2230575876.956766
2014-08-13,546.805810335522,4777730837.94182,2552489433.64959,2225241408.238016
2014-08-14,510.156718963884,4770324126.1631,2595321151.20167,2175002974.526899
2014-08-15,496.233374028826,4768368934.79493,2608715580.76763,2159653351.919542
2014-08-16,519.06087957132,4771003607.00986,2614796028.48649,2156207548.9818
2014-08-17,497.474831467332,4772624806.12947,2683519668.01649,2089105208.891509
2014-08-18,468.08021396563,4761642244.08604,2690005876.35688,2071636321.310148
2014-08-19,487.42917292409,4762471122.92397,2694493507.61334,2067977658.2368898
2014-08-20,512.044340970759,4766058075.56961,2701512618.29395,2064545491.0793848
2014-08-21,517.778434057431,4765825633.90426,2702589816.76465,2063235779.141432
2014-08-22,514.59782471031,4767917744.27693,2716011754.23155,2051905943.6730459
2014-08-23,499.657053312828,4766269095.23779,2741298533.69248,2024970624.1621692
2014-08-24,511.160292865079,4768216861.17068,2744500264.00847,2023716602.211133
2014-08-25,501.869427506357,4768611148.08474,2744141192.84408,2024469946.098064
2014-08-26,513.379599590357,4771754000.49942,2747004942.23162,2024749086.229444
2014-08-27,509.612131620481,4772558719.60692,2754489035.16125,2018069694.1729121
2014-08-28,506.007066984566,4752413519.2668,2760310955.11958,1992102648.0067742
2014-08-29,508.57481577692,4751592998.31205,2752214154.7549,1999378927.503915
2014-08-30,499.407947826712,4752522134.53135,2761385335.22341,1991136862.877955
2014-08-31,477.688738733479,4753252374.64092,2763996331.58894,1989256070.8937368
2014-09-01,472.973160142747,4754959732.31528,2765704492.16885,1989255315.072737
2014-09-02,475.474055093567,4752755001.56032,2770030219.19122,1982724817.049665
2014-09-03,474.671099387455,4753482562.26755,2773345078.76913,1980137551.011613
2014-09-04,489.890391159088,4756534893.1123,2774608421.38169,1981926490.4732308
2014-09-05,482.053870456277,4758126791.12624,2776337812.14514,1981788927.1337461
2014-09-06,483.80253526825,4762096959.47328,2776506015.23243,1985591043.067277
2014-09-07,480.056383527919,4760397317.57957,2772761072.17524,1987636222.533542
2014-09-08,471.341300243033,4759815106.40848,2776369052.99523,1983446145.1566029
2014-09-09,473.066372072618,4757078814.49159,2763427915.28339,1993650839.469132
2014-09-10,478.535387838512,4756347712.69057,2763459045.64757,1992888665.371424
2014-09-11,477.954410626103,4757236609.27627,2767379120.37421,1989857494.264086
2014-09-12,474.594874600928,4755325123.96146,2770825869.12286,1984499178.5899982
2014-09-13,478.241302190543,4756942225.0466,2773104217.18994,1983838058.943531
2014-09-14,476.766877968088,4758661063.5093,2774193325.63066,1984467630.8056648
2014-09-15,474.769636031563,4758502744.83146,2769409750.30233,1989092997.294796
2014-09-16,466.358340553949,4758356418.17616,2771585154.8231,1986771280.027281
2014-09-17,458.129441482918,4758988424.69506,2774330278.27767,1984658134.718914
2014-09-18,424.669952869797,4750489001.53039,2795018187.28758,1955470788.212179
2014-09-19,393.481893457727,4738513217.62227,2801578010.17528,1936935271.103696
2014-09-20,408.57534378308,4728893285.4517,2781803732.55901,1947089533.2237768
2014-09-21,399.217836682996,4727387654.20491,2780918791.6979,1946468856.775343
2014-09-22,404.873704609054,4726184963.76472,2782583699.6774,1943601301.113613
2014-09-23,438.947355668582,4727749880.43697,2783172316.21396,1944577584.442409
2014-09-24,424.430837884176,4726360539.77284,2786835484.7967,1939525068.161526
2014-09-25,409.927956782504,4724621290.89768,2800180838.23762,1924440396.6398268
2014-09-26,404.14729148255,4718418279.70095,2796605092.38518,1921813203.463461
2014-09-27,399.813748328334,4716792621.00476,2797110326.63766,1919682258.762792
2014-09-28,376.560802960476,4715417953.85161,2797011896.32275,1918405973.429895
2014-09-29,373.997968334147,4703998362.79642,2784878909.73682,1919119452.1325011
2014-09-30,387.123640861054,4701430088.71138,2784425071.51295,1917005038.536566
2014-10-01,382.78861753767,4697714196.08917,2786262180.48698,1911452082.7093322
2014-10-02,371.586368279984,4694410439.02281,2782970352.65,1911440080.0780811
2014-10-03,359.669264705819,4679452520.1091,2775472972.38223,1903979599.8210418
