date,btc_price,trend_bitcoin,trend_crypto,trend_ethereum,trend_nft,wiki_bitcoin,wiki_cryptocurrency,wiki_ethereum,wiki_blockchain
2011-12-21,3.89,0.0,0.0,0.0,0.0,,,,
2011-12-22,3.9,0.0,0.0,0.0,0.0,,,,
2011-12-23,3.95,0.0,0.0,0.0,0.0,,,,
2011-12-24,3.94,0.0,0.0,0.0,0.0,,,,
2011-12-25,4.23,0.0,0.0,0.0,0.0,,,,
2011-12-26,4.02,0.0,0.0,0.0,0.0,,,,
2011-12-27,4.07,0.0,0.0,0.0,0.0,,,,
2011-12-28,4.19,0.0,0.0,0.0,0.0,,,,
2011-12-29,4.17,0.0,0.0,0.0,0.0,,,,
2011-12-30,4.25,0.0,0.0,0.0,0.0,,,,
2011-12-31,4.71,0.0,0.0,0.0,0.0,,,,
2012-01-01,5.27,0.0,0.0,0.0,0.0,,,,
2012-01-02,5.22,0.0,0.0,0.0,0.0,,,,
2012-01-03,4.88,0.0,0.0,0.0,0.0,,,,
2012-01-04,5.58,0.0,0.0,0.0,0.0,,,,
2012-01-05,6.93,0.0,0.0,0.0,0.0,,,,
2012-01-06,6.7,0.0,0.0,0.0,0.0,,,,
2012-01-07,6.81,0.0,0.0,0.0,0.0,,,,
2012-01-08,7.11,0.0,0.0,0.0,0.0,,,,
2012-01-09,6.33,0.0,0.0,0.0,0.0,,,,
2012-01-10,6.4,0.0,0.0,0.0,0.0,,,,
2012-01-11,6.9,0.0,0.0,0.0,0.0,,,,
2012-01-12,6.8,0.0,0.0,0.0,0.0,,,,
2012-01-13,6.41,0.0,0.0,0.0,0.0,,,,
2012-01-14,6.75,0.0,0.0,0.0,0.0,,,,
2012-01-15,7.0,0.0,0.0,0.0,0.0,,,,
2012-01-16,6.68,0.0,0.0,0.0,0.0,,,,
2012-01-17,5.58,0.0,0.0,0.0,0.0,,,,
2012-01-18,5.92,0.0,0.0,0.0,0.0,,,,
2012-01-19,6.36,0.0,0.0,0.0,0.0,,,,
2012-01-20,6.49,0.0,0.0,0.0,0.0,,,,
2012-01-21,6.18,0.0,0.0,0.0,0.0,,,,
2012-01-22,6.31,0.0,0.0,0.0,0.0,,,,
2012-01-23,6.36,0.0,0.0,0.0,0.0,,,,
2012-01-24,6.29,0.0,0.0,0.0,0.0,,,,
2012-01-25,5.78,0.0,0.0,0.0,0.0,,,,
2012-01-26,5.34,0.0,0.0,0.0,0.0,,,,
2012-01-27,5.29,0.0,0.0,0.0,0.0,,,,
2012-01-28,5.63,0.0,0.0,0.0,0.0,,,,
2012-01-29,5.38,0.0,0.0,0.0,0.0,,,,
2012-01-30,5.49,0.0,0.0,0.0,0.0,,,,
2012-01-31,5.49,0.0,0.0,0.0,0.0,,,,
2012-02-01,6.08,0.0,0.0,0.0,0.0,,,,
2012-02-02,6.1,0.0,0.0,0.0,0.0,,,,
2012-02-03,5.96,0.0,0.0,0.0,0.0,,,,
2012-02-04,5.87,0.0,0.0,0.0,0.0,,,,
2012-02-05,5.69,0.0,0.0,0.0,0.0,,,,
2012-02-06,5.46,0.0,0.0,0.0,0.0,,,,
2012-02-07,5.69,0.0,0.0,0.0,0.0,,,,
2012-02-08,5.6,0.0,0.0,0.0,0.0,,,,
2012-02-09,5.84,0.0,0.0,0.0,0.0,,,,
2012-02-10,5.92,0.0,0.0,0.0,0.0,,,,
2012-02-11,5.6,0.0,0.0,0.0,0.0,,,,
2012-02-12,5.52,0.0,0.0,0.0,0.0,,,,
2012-02-13,5.26,0.0,0.0,0.0,0.0,,,,
2012-02-14,4.46,0.0,0.0,0.0,0.0,,,,
2012-02-15,4.29,0.0,0.0,0.0,0.0,,,,
2012-02-16,4.27,0.0,0.0,0.0,0.0,,,,
2012-02-17,4.38,0.0,0.0,0.0,0.0,,,,
2012-02-18,4.23,0.0,0.0,0.0,0.0,,,,
2012-02-19,4.39,0.0,0.0,0.0,0.0,,,,
2012-02-20,4.37,0.0,0.0,0.0,0.0,,,,
2012-02-21,4.28,0.0,0.0,0.0,0.0,,,,
2012-02-22,4.43,0.0,0.0,0.0,0.0,,,,
2012-02-23,5.0,0.0,0.0,0.0,0.0,,,,
2012-02-24,5.03,0.0,0.0,0.0,0.0,,,,
2012-02-25,4.79,0.0,0.0,0.0,0.0,,,,
2012-02-26,4.92,0.0,0.0,0.0,0.0,,,,
2012-02-27,4.96,0.0,0.0,0.0,0.0,,,,
2012-02-28,4.87,0.0,0.0,0.0,0.0,,,,
2012-02-29,4.86,0.0,0.0,0.0,0.0,,,,
2012-03-01,4.92,0.0,0.0,0.0,0.0,,,,
2012-03-02,4.7,0.0,0.0,0.0,0.0,,,,
2012-03-03,4.61,0.0,0.0,0.0,0.0,,,,
2012-03-04,4.82,0.0,0.0,0.0,0.0,,,,
2012-03-05,4.98,0.0,0.0,0.0,0.0,,,,
2012-03-06,4.99,0.0,0.0,0.0,0.0,,,,
2012-03-07,4.98,0.0,0.0,0.0,0.0,,,,
2012-03-08,4.93,0.0,0.0,0.0,0.0,,,,
2012-03-09,4.87,0.0,0.0,0.0,0.0,,,,
2012-03-10,4.85,0.0,0.0,0.0,0.0,,,,
2012-03-11,4.91,0.0,0.0,0.0,0.0,,,,
2012-03-12,4.89,0.0,0.0,0.0,0.0,,,,
2012-03-13,5.27,0.0,0.0,0.0,0.0,,,,
2012-03-14,5.38,0.0,0.0,0.0,0.0,,,,
2012-03-15,5.33,0.0,0.0,0.0,0.0,,,,
2012-03-16,5.35,0.0,0.0,0.0,0.0,,,,
2012-03-17,5.22,0.0,0.0,0.0,0.0,,,,
2012-03-18,5.28,0.0,0.0,0.0,0.0,,,,
2012-03-19,4.7,0.0,0.0,0.0,0.0,,,,
2012-03-20,4.84,0.0,0.0,0.0,0.0,,,,
2012-03-21,4.82,0.0,0.0,0.0,0.0,,,,
2012-03-22,4.7,0.0,0.0,0.0,0.0,,,,
2012-03-23,4.69,0.0,0.0,0.0,0.0,,,,
2012-03-24,4.66,0.0,0.0,0.0,0.0,,,,
2012-03-25,4.55,0.0,0.0,0.0,0.0,,,,
2012-03-26,4.62,0.0,0.0,0.0,0.0,,,,
2012-03-27,4.82,0.0,0.0,0.0,0.0,,,,
2012-03-28,4.79,0.0,0.0,0.0,0.0,,,,
2012-03-29,4.81,0.0,0.0,0.0,0.0,,,,
2012-03-30,4.86,0.0,0.0,0.0,0.0,,,,
2012-03-31,4.91,0.0,0.0,0.0,0.0,,,,
2012-04-01,4.82,0.0,0.0,0.0,0.0,,,,
2012-04-02,4.97,0.0,0.0,0.0,0.0,,,,
2012-04-03,4.95,0.0,0.0,0.0,0.0,,,,
2012-04-04,4.92,0.0,0.0,0.0,0.0,,,,
2012-04-05,4.92,0.0,0.0,0.0,0.0,,,,
2012-04-06,4.95,0.0,0.0,0.0,0.0,,,,
