date,cdd,vdd_30d_ma,vdd_365d_ma,vdd_multiple
2013-01-23,3921428.01004982,56092605.92111288,34258607.84183447,2.0031459098600997
2013-01-24,9436103.029067993,60814812.2495252,34663611.3957313,4.600233462917745
2013-01-25,5840057.44506073,63509395.036141396,34893496.38387849,2.9207570762838864
2013-01-26,5330668.686779499,65934533.35693491,35124774.292446844,2.6571562261269475
2013-01-27,12489901.3716259,72322752.61365607,35707210.29341034,6.276744481618118
2013-01-28,5498691.623156071,74749904.73213547,35965143.50066969,2.862243713143755
2013-01-29,14135168.470931053,82899608.33690476,36702863.85082207,7.524753117135858
2013-01-30,16350364.414039135,88159505.21249641,37557859.03002717,8.576159218741758
2013-01-31,9851920.736388683,93886438.05640832,38072919.57993833,5.281383840488198
2013-02-01,29862637.68861866,113002011.66116157,39706926.38002937,15.272563538821771
2013-02-02,10953100.244701862,118948848.81520933,40274471.94525014,5.338601536372352
2013-02-03,3679024.9078269005,119197045.48166113,40450814.84636132,1.872954305546832
2013-02-04,8856963.651922226,124273265.72030321,40928391.343635626,4.41458978883883
2013-02-05,7512475.895635128,128798125.37288818,41324674.19742265,3.7449055910460283
2013-02-06,4116786.4720454216,130738528.84426974,41536852.9904711,2.092266975596593
2013-02-07,5429968.32933712,132071912.01690103,41848228.09824465,2.880275759624845
2013-02-08,8496210.136677742,136524742.97632235,42363600.15183456,4.547934012616497
2013-02-09,10849544.398136616,142812250.25358164,43030558.25235552,5.965583547936887
2013-02-10,3088222.3679590225,143689277.7652035,43027314.714542605,1.7203972175954807
2013-02-11,5457755.522932053,147303879.9174445,43374239.29918798,3.0993296945028077
2013-02-12,5344798.568836212,149755460.13031736,43558371.22708756,3.079877421917066
2013-02-13,7473820.026723385,154572102.02012578,43833129.18505697,4.150120760998796
2013-02-14,7216065.376012802,159233457.74353942,44350962.12605689,4.435302701912273
2013-02-15,22518214.604006767,177802253.98867756,46004006.79882054,13.348222361079388
2013-02-16,6011545.483514309,180497569.98545712,46439847.81256953,3.5365193975755997
2013-02-17,5847520.679471493,183500790.94345182,46841401.102423295,3.368715320673336
2013-02-18,6752952.029210091,188225744.36152765,47329036.52851296,3.8495178397118686
2013-02-19,6463624.958250999,193167553.9437831,47833667.75627727,3.97057479976168
2013-02-20,9586705.704811096,199086174.90014073,48601547.99264874,5.875654692447141
2013-02-21,3810999.9270539284,195587141.9984361,48890652.931686044,2.319175677365542
2013-02-22,5478731.137901783,198823189.4845169,49321409.25257206,3.3597258729920245
2013-02-23,5067105.397916794,198541157.3435069,49691924.5685299,3.038717903744651
2013-02-24,5750611.190682411,200870262.56620276,50143591.767494075,3.425932947861502
2013-02-25,32591932.20648575,230471826.4715439,52817844.635815516,18.580442587716743
2013-02-26,7310486.808263302,230603898.24669972,53424204.13889294,4.2693605285130865
2013-02-27,2504302.624671936,229782841.13890383,53617414.13384602,1.4605197566548849
2013-02-28,22569970.33479786,245479042.10265458,55581045.09851973,13.441021426596125
2013-03-01,6355301.333902836,242093268.01364985,56154260.36054414,3.9271990205284486
2013-03-02,4023090.4507045746,240010526.8068858,56503436.797835544,2.452867894083245
2013-03-03,3849875.45650959,224197999.20981786,56827831.84862717,2.323698157445522
2013-03-04,4398905.56221199,222384488.68557993,57240437.498686105,2.8057794296216945
2013-03-05,11851438.792779922,235676791.40003118,58521265.30204755,8.10870385002262
2013-03-06,21916600.431399345,264720616.80696303,61385730.4262262,17.137481518957664
2013-03-07,13147409.844243526,278152487.5450539,62896047.72486621,8.867220529221205
2013-03-08,3846417.393345356,280914976.8103903,63335953.93448836,2.680639560870546
2013-03-09,10075381.539333344,292016951.4745957,64556585.29753229,7.026295997693143
2013-03-10,3364120.1568665504,290775467.9152564,64957727.11825932,2.392669173357609
2013-03-11,6501504.512078285,292640633.3024915,65787231.46734938,4.752553725277504
2013-03-12,8071489.8509402275,302280398.9950517,66766070.10341892,5.440144114064171
2013-03-13,7597848.383784294,309624148.10179985,67707933.07095066,5.239320194092404
2013-03-14,6535246.206642628,315475843.8903,68516659.88346605,4.5201461696986485
2013-03-15,7229644.9879283905,320803595.19459754,69432791.4981966,4.92195850412051
2013-03-16,3727044.37141943,320085633.30481774,69848935.35877347,2.507856197907111
2013-03-17,5399033.979640007,308091259.89981717,70524101.66987124,3.6050159318776918
2013-03-18,3786848.741909504,308634048.4637243,70958142.53325394,2.5440220541599903
2013-03-19,9036975.714411259,320957146.0275459,72379024.438202,7.28786104184867
2013-03-20,7618244.095560551,331514640.5397251,73718533.69562161,6.767888355976523
2013-03-21,14128964.196540833,358975508.05067706,76455834.79890367,13.259330484955234
2013-03-22,14778902.277774334,384448158.55958074,79311630.98562542,13.23570598340827
2013-03-23,9228200.024479866,399814063.77271205,80829418.39440055,7.105867899742501
