date,btc_price,supply_0-1d,realized_cap_0-1d,supply_1d-1w,realized_cap_1d-1w,supply_1w-1m,realized_cap_1w-1m,supply_1m-3m,realized_cap_1m-3m,supply_3m-6m,realized_cap_3m-6m,supply_6m-12m,realized_cap_6m-12m,supply_1y-2y,realized_cap_1y-2y,supply_2y-3y,realized_cap_2y-3y,supply_3y-5y,realized_cap_3y-5y,supply_5y-7y,realized_cap_5y-7y,supply_7y-10y,realized_cap_7y-10y,supply_10y+,realized_cap_10y+
2009-02-20,,2.416320063378886,2.4163200633788873,15.309962368785893,15.3099623687859,57.53614577143986,57.536145771439905,24.737571796395315,24.73757179639533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-21,,2.2273871779972874,2.2273871779972887,14.855704048034083,14.855704048034092,56.92426883594807,56.9242688359481,25.992639938020524,25.992639938020535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-22,,2.4602573807721413,2.4602573807721426,14.042392127176376,14.042392127176385,56.47236941710821,56.47236941710826,27.02498107494321,27.024981074943227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-23,,2.021513353115726,2.0215133531157274,13.501483679525217,13.501483679525226,54.28412462908011,54.284124629080125,30.192878338278916,30.192878338278934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-24,,1.9279738086576927,1.927973808657694,13.204801746089482,13.20480174608949,51.90978537650054,51.90978537650055,32.95743906875226,32.95743906875227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-25,,1.909691236837408,1.9096912368374088,12.778868463323215,12.77886846332322,51.09762627164018,51.097626271640195,34.21381402819917,34.21381402819919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-26,,1.8739054290718031,1.8739054290718042,11.943957968476353,11.943957968476358,50.910683012259184,50.910683012259206,35.27145359019263,35.27145359019265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-27,,2.609442060085836,2.6094420600858372,11.055793991416305,11.05579399141631,49.95708154506437,49.95708154506438,36.37768240343347,36.37768240343348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-28,,1.7893315327481423,1.7893315327481434,11.42808912896691,11.428089128966915,48.81836596893989,48.818365968939915,37.964213369345025,37.96421336934504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-01,,1.758168850555647,1.758168850555648,10.98026206667772,10.980262066677726,48.15060540719852,48.15060540719855,39.11096367556807,39.110963675568094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
