date,btc_price,total_oi,circulating_supply_btc,market_cap_usd,oi_mcap_pct,oi_mcap_ma30,oi_mcap_ma90,oi_mcap_pctile_1y
2023-07-11,30647.2187156785,13656416264.0,19426858.544968788,595379182786.2062,2.293734255217294,2.36486476683394,2.26164496137855,24.65753424657534
2023-07-12,30413.994084819,14059020921.0,19427758.54496911,590875733467.9824,2.3793532420910988,2.370806725170004,2.262659323634726,32.32876712328767
2023-07-13,31481.4081376011,14516813749.0,19428508.544968944,611636807009.0378,2.373436912665312,2.3754354332051437,2.2632546386506833,31.780821917808222
2023-07-14,30345.7701035837,14388398800.0,19429371.04496852,589599226987.8406,2.44036934605695,2.3782457015792153,2.2655757375531316,34.52054794520548
2023-07-15,30318.1340815308,14487646907.0,19430233.54496827,589088425851.8055,2.4593331444343463,2.385037858617549,2.268123984623157,35.342465753424655
2023-07-16,30254.0284882476,14187617836.0,19431202.294968296,587872147792.8729,2.4133849322963288,2.3913114215842435,2.2697579594208444,33.6986301369863
2023-07-17,30156.5844242845,14161434343.0,19432052.29496904,586004325570.3453,2.4166091827422918,2.3950177073892283,2.2727894275936857,34.24657534246575
2023-07-18,29884.3573854079,14247388806.0,19433064.794969022,580744653426.6428,2.4532965946279983,2.4006269043270603,2.2742013960667067,35.61643835616438
2023-07-19,29935.6891157405,14441770477.0,19433989.794968955,581769876780.6641,2.482385399002837,2.4085792601011726,2.2770587263304582,38.9041095890411
2023-07-20,29811.4849347523,14219034745.0,19434789.79496919,579379943182.8018,2.454181390347804,2.417707228932672,2.278707896341658,35.89041095890411
2023-07-21,29892.1365446573,13843584928.0,19435489.794968694,580968314763.4977,2.382846805274654,2.420601124906278,2.2812331075112318,32.87671232876712
2023-07-22,29804.3500738858,13729744255.0,19436327.29496929,579287102849.8865,2.370110466374021,2.4196859492445393,2.2828960307117865,31.780821917808222
2023-07-23,30101.2645734077,13590971369.0,19437246.04496867,585085685778.0243,2.322902730209038,2.4178529440299963,2.284584775413409,28.493150684931507
2023-07-24,29206.0663216961,13542622831.0,19438183.544968788,567712877787.6603,2.3854704307174974,2.414951362084475,2.287691921869337,33.6986301369863
2023-07-25,29256.1875846369,13990105488.0,19439046.04496839,568712377557.9893,2.4599614919711303,2.414010298695,2.2910814440316796,37.80821917808219
2023-07-26,29375.3055204941,13962623028.0,19439946.044969067,571054354372.8873,2.4450602505839014,2.4117733023480885,2.2967154322312093,36.43835616438356
2023-07-27,29239.7913150158,13955089052.0,19440808.54496903,568445184850.0703,2.454957738041305,2.4113846357819093,2.301066558835072,37.534246575342465
2023-07-28,29335.4470402998,13985828831.0,19441683.54496905,570330478007.7076,2.452232410909485,2.4081202817478173,2.3049264405262506,36.986301369863014
2023-07-29,29383.336465198,14038296147.0,19442508.54496878,571285770304.3049,2.457315913806547,2.4077474589956824,2.3089668051653707,38.35616438356164
2023-07-30,29364.3837700405,14031644134.0,19443558.544968,570948114969.6907,2.4576040740137803,2.4060759039598785,2.3123150883197496,38.63013698630137
2023-07-31,29258.5076902706,13929774078.0,19444439.794967793,568915291274.0688,2.4484794646325443,2.4090667506853083,2.316501426471443,36.986301369863014
2023-08-01,29703.8104813107,14117414880.0,19445308.544968605,577599759770.3589,2.4441517921705467,2.411631795752872,2.3203792030935446,36.43835616438356
2023-08-02,29177.9478242776,14106037237.0,19446271.044968598,567402281926.854,2.4860734061726,2.4173436093690586,2.3250061007452394,42.73972602739726
2023-08-03,29184.4729902195,13778287140.0,19447214.794967897,567556714918.7377,2.4276493921797337,2.4157904083445074,2.3290808276571666,35.89041095890411
2023-08-04,29096.0701444857,13817955168.0,19447971.044967934,565859529692.3138,2.44194087806801,2.4153379606262133,2.3317638046334555,36.71232876712329
2023-08-05,29072.4311106811,14019221871.0,19448933.544968538,565427780662.3126,2.4794009686928744,2.4140003556535485,2.3356906782157196,42.73972602739726
2023-08-06,29079.1215999119,13963455344.0,19449958.544967864,565587709642.3661,2.468839952839394,2.419248446262002,2.338927788678873,41.64383561643836
2023-08-07,29197.986038807,13790697122.0,19450871.04496689,567926261213.5786,2.4282548745907997,2.4223518553983308,2.341413500637035,36.16438356164384
2023-08-08,29774.8224448097,13883326459.0,19451652.294968367,579169493340.8582,2.397109415918296,2.423461153806472,2.3435968893999886,34.24657534246575
2023-08-09,29579.4693139563,14649650383.0,19452664.794967405,575399501377.4164,2.5459963639056045,2.430748107351801,2.3476985711043032,50.95890410958904
2023-08-10,29439.068889827,14491827719.0,19453458.54496699,572691706250.6769,2.5304762686150517,2.4386395077983924,2.350552863789431,48.49315068493151
2023-08-11,29408.1385408148,14421688168.0,19454402.294967353,572117757919.1454,2.5207552061402976,2.443352906600033,2.353951829536721,48.49315068493151
2023-08-12,29431.2391205862,14298918646.0,19455446.04496715,572597884747.0912,2.4972007453914435,2.4474783676909038,2.3570371066280216,45.75342465753425
2023-08-13,29294.0071031849,14218997307.0,19456289.794966888,569952691455.3839,2.4947679904259332,2.4492916558365363,2.3601328349965103,45.75342465753425
2023-08-14,29414.4402033915,14093189990.0,19457358.544967182,572327309436.8859,2.4624353508250936,2.449395062716228,2.362325578686978,41.64383561643836
2023-08-15,29181.7271502883,13921064283.0,19458427.29496834,567830516095.4885,2.451623131973235,2.4506696693721253,2.3646362694745333,38.63013698630137
2023-08-16,28714.3609957384,14256516216.0,19459446.0449679,558765558512.3021,2.5514307384939006,2.455163721230512,2.3674068871961147,53.15068493150685
2023-08-17,26668.375876092,14193634276.0,19460421.044967744,518977823134.2109,2.7349211552589674,2.464551206584878,2.3732097326375756,59.45205479452055
2023-08-18,26068.756541312,11828354865.0,19461289.79496764,507331625644.93115,2.331483839581957,2.4595211546041815,2.374738357876923,29.315068493150687
2023-08-19,26110.5955282053,11475646673.0,19462164.79496876,508168713064.706,2.2582355776670546,2.4529896275148233,2.3747969947477348,21.36986301369863
2023-08-20,26203.1956390114,11304596754.0,19463177.29496785,509997442416.8072,2.2165987147757216,2.447448024498192,2.3746963618825943,15.616438356164384
2023-08-21,26176.5093140249,11453930082.0,19464208.544968363,509505036267.4874,2.2480504149495295,2.443379356117376,2.3750414090380376,20.273972602739725
2023-08-22,26042.2437082433,11381602362.0,19465102.294967856,506914937771.43884,2.2452686859134956,2.440791554640858,2.3739027186951387,20.273972602739725
2023-08-23,26442.198971668,10934024831.0,19465989.79496882,514723575339.02435,2.124251803270963,2.432084267059307,2.372134887370144,6.8493150684931505
2023-08-24,26183.9661193447,10918593625.0,19466858.544968583,509719564591.5332,2.1420785827104125,2.4214881700839492,2.370413132591134,8.493150684931507
2023-08-25,26059.7902007569,10758549757.0,19467702.294968035,507324237497.6606,2.1206457255158466,2.410674352581681,2.369243906468318,6.575342465753424
2023-08-26,26033.3825013828,10516080234.0,19468558.54496804,506832431351.7175,2.0748633243444403,2.398004538791785,2.368662751754724,3.0136986301369864
2023-08-27,26103.6600177839,10590004679.0,19469283.544968173,508219558447.68365,2.0837459918595673,2.3857216581567884,2.3664489685560905,4.383561643835616
2023-08-28,26119.3483138369,10700436276.0,19470021.044967316,508544261351.236,2.104130768788586,2.3739488199895225,2.3646758013774187,5.7534246575342465
2023-08-29,27740.1326391347,10635363228.0,19471008.544967428,540128359655.1216,1.9690436611754298,2.357663472894911,2.360845200730449,1.095890410958904
2023-08-30,27314.1128866737,11798547596.0,19471796.044967793,531854835278.5368,2.2183774243250043,2.3499934048846596,2.360084916114926,18.08219178082192
2023-08-31,25954.5020137399,11451042972.0,19472696.044967227,505404128712.0469,2.265720108219419,2.3440456820862887,2.3605998816293514,26.027397260273972
