date,event,btc_price,daily_realized_profit_btc,daily_realized_loss_btc,rpl_ratio,sth_pl_ratio,lth_pl_ratio,rrp,rrl,relative_realized_pl
2013-11-10,,327.364682380192,42646.736288602384,6615.221464839972,6.446758663375157,1.666902708071432,98375.36088968124,0.0132306688888626,0.0020522978413986,0.011178371047464
2013-11-11,,346.523784045373,53593.195740513605,1.9860441432342035,26984.89654577313,8767.31948356459,98375.36088968124,0.0172693278409577,6.399627218012358e-07,0.0172686878782359
2013-11-12,,359.678726607161,62845.01521455643,0.0365956695994518,1717280.1017828032,612375.451041614,98375.36088968124,0.0205527565404623,1.1968202810435734e-08,0.0205527445722594
2013-11-13,,410.194952211087,92893.40494545134,0.0,,612375.451041614,98375.36088968124,0.0334357174257278,0.0,0.0334357174257278
2013-11-14,,421.937903439593,82984.24172610446,0.0,,612375.451041614,98375.36088968124,0.0297593925863943,0.0,0.0297593925863943
2013-11-15,,418.968790447931,61536.62124262694,705.8406014090704,87.1820367371632,24.4749868596398,98375.36088968124,0.0214170933507334,0.0002456594747298,0.0211714338760035
2013-11-16,,439.812232743543,49086.81153688217,0.0,,24.4749868596398,98375.36088968124,0.017587429760443,0.0,0.017587429760443
2013-11-17,,504.749476424122,75124.80149534738,0.0089474724895557,8396203.685793847,3875262.58400064,98375.36088968124,0.0299096979977931,3.562288281357392e-09,0.0299096944355048
2013-11-18,,688.818233892919,161066.9511862402,0.0089467855465863,18002773.213636998,9979170.55177457,98375.36088968124,0.0803127975738695,4.461134771893534e-09,0.0803127931127347
2013-11-19,,650.030746496753,134353.21644343052,10025.89709117867,13.40061794187393,5.740977098430338,98375.36088968124,0.0596193709778314,0.0044490016233903,0.0551703693544411
2013-11-20,,610.721388010032,97990.05424352609,12038.87594664631,8.139468724305887,2.53134090296317,98375.36088968124,0.0393753221963564,0.0048375789047231,0.0345377432916332
2013-11-21,,738.156173178028,88098.275275205,0.041301201262635,2133068.1089633824,1195745.2014412566,98375.36088968124,0.040960106855635,1.9202437410937e-08,0.0409600876531976
2013-11-22,,801.178229392447,199920.09768627267,0.0,,1195745.2014412566,98375.36088968124,0.0914604797446385,0.0,0.0914604797446385
