start,end,min_price,max_confirm,is_known_ref
2015-08-18,2015-08-18,221.28645398457,4,False
2015-08-24,2015-08-25,210.588575268171,4,False
2015-11-10,2015-11-15,312.418710175159,4,False
2015-12-26,2015-12-26,417.109834368222,3,False
2016-01-15,2016-01-22,359.581334134628,4,False
2016-01-28,2016-02-01,371.758066557955,3,False
2016-06-22,2016-06-26,603.134426655105,3,False
2016-08-02,2016-08-02,538.0597068668,4,False
2017-01-06,2017-01-12,780.254009831306,4,False
2017-03-17,2017-03-24,936.72159645051,4,False
2017-12-22,2017-12-22,13833.3808649743,2,False
2017-12-30,2017-12-30,12865.7701643443,2,False
2018-01-16,2018-01-18,11238.0343206104,4,False
2018-01-30,2018-02-13,6913.45283524325,4,False
2018-02-24,2018-02-25,9848.94524506212,2,False
2018-03-17,2018-03-18,7991.23192536619,4,False
2018-03-26,2018-04-11,6724.53646792066,4,False
2018-06-20,2018-06-28,5914.13588603817,3,False
2018-08-07,2018-08-15,6178.79115680648,4,False
2018-11-24,2018-11-27,3828.18463385213,4,False
2018-12-05,2018-12-17,3281.05718612757,3,False
2018-12-27,2018-12-27,3705.72122443972,3,False
2019-01-20,2019-01-23,3608.51918361495,3,False
2019-06-04,2019-06-09,7650.82978451905,2,False
2019-07-14,2019-07-16,9540.26411688977,3,False
2019-07-23,2019-07-23,9842.97306940586,2,False
2019-08-29,2019-08-29,9697.3416876693,3,False
2019-09-27,2019-10-06,8095.53335343318,4,False
2019-10-23,2019-10-24,7454.82692517236,3,False
2019-11-24,2019-11-26,7057.93999031244,4,False
2019-12-17,2019-12-17,6854.12393636706,3,False
2020-02-29,2020-02-29,8523.04038517677,3,False
2020-03-12,2020-03-20,4837.32127554015,4,False
2020-03-29,2020-03-29,5902.66037975136,3,False
2020-05-10,2020-05-11,8641.00220583123,3,False
2020-05-24,2020-05-24,8733.04352827803,2,False
2021-01-21,2021-01-21,30825.698086867,2,False
2021-02-27,2021-02-27,46238.1915529868,3,False
2021-04-22,2021-04-25,49216.1696621573,3,False
2021-05-19,2021-06-01,34612.8980549329,4,False
2021-06-07,2021-06-08,33441.5593811079,3,False
2021-06-21,2021-07-01,31630.859275722,3,False
2021-07-16,2021-07-20,29837.1840430492,3,False
2021-09-07,2021-09-13,44896.3980156971,4,False
2021-12-13,2021-12-17,46191.7602477693,3,False
2022-01-21,2022-01-22,35095.7013710283,4,False
2022-01-29,2022-01-29,38211.0860525392,3,False
2022-02-23,2022-02-23,37266.670760206,2,False
2022-03-04,2022-03-11,38039.9536778358,3,False
2022-05-11,2022-05-20,28675.2158699234,4,False
2022-06-18,2022-07-03,18973.1024503608,4,False
2022-07-12,2022-07-12,19314.5681356567,3,False
2022-08-26,2022-09-08,18790.9069153409,4,False
2022-09-21,2022-09-21,18490.9294708545,2,False
2022-11-09,2022-11-09,15912.8757024704,4,False
2022-11-20,2022-11-22,15774.4832353555,3,False
2024-03-19,2024-03-22,61942.3358324217,4,False
2024-04-17,2024-04-17,61289.7515765013,3,False
2024-05-01,2024-05-02,58340.8647027734,4,False
2024-06-24,2024-06-26,60304.6179379191,3,False
2024-07-04,2024-07-07,55919.042762323,2,False
2024-08-04,2024-08-07,54026.1136729947,4,False
2024-09-05,2024-09-07,53997.9612298954,4,False
2024-12-22,2024-12-30,92671.5245019799,2,False
2025-02-26,2025-02-28,84197.43002316,4,False
2025-03-09,2025-03-10,78626.4148167644,2,False
2025-04-06,2025-04-08,76270.133036587,4,False
2025-11-21,2025-11-22,84747.7976933744,4,False
2026-02-05,2026-02-05,62839.7650444714,4,False
2026-02-11,2026-02-17,66248.1233279265,3,False
2026-03-27,2026-03-29,65980.6531858915,3,False
2026-06-06,2026-06-06,60811.015625,4,False
