date,event,btc_price
2/20/2014,,561.3750411
2/21/2014,,579.6370921
2/22/2014,,608.7581397
2/23/2014,,606.5140885
2/24/2014,,533.4618744
2/25/2014,,534.6191946
2/26/2014,,585.1895345
2/27/2014,,582.7707482
2/28/2014,,553.4013272
3/1/2014,,568.7476839
3/2/2014,,566.7852358
3/3/2014,,680.6597039
3/4/2014,,671.9870597
3/5/2014,,669.6479105
3/6/2014,,667.979171
3/7/2014,,631.0227868
3/8/2014,,617.3670988
3/9/2014,,639.8978837
3/10/2014,,626.9804315
3/11/2014,,634.0403711
3/12/2014,,636.2897013
3/13/2014,,644.2108878
3/14/2014,,627.9537626
3/15/2014,,635.5341122
3/16/2014,,632.0037036
3/17/2014,,623.7352639
3/18/2014,,615.8545234
3/19/2014,,609.2132799
3/20/2014,,586.537166
3/21/2014,,570.825111
3/22/2014,,563.0222719
3/23/2014,,557.6447872
3/24/2014,,585.6108094
3/25/2014,,583.9744476
3/26/2014,,576.782528
3/27/2014,,474.4961125
3/28/2014,,502.9276622
3/29/2014,,492.4336276
3/30/2014,,460.9957244
3/31/2014,,456.6470669
4/1/2014,,479.8733612
4/2/2014,,437.2149428
4/3/2014,,447.9925495
4/4/2014,,446.9947662
4/5/2014,,463.6671501
4/6/2014,,458.18566
4/7/2014,,446.2811605
4/8/2014,,451.6677977
4/9/2014,,440.9060378
4/10/2014,,364.1248704
4/11/2014,,422.3783209
4/12/2014,,422.8900622
4/13/2014,,417.3019051
4/14/2014,,459.8480642
4/15/2014,,518.9251937
4/16/2014,,530.9376026
4/17/2014,,497.5977487
4/18/2014,,479.4022133
4/19/2014,,503.4872387
4/20/2014,,498.9536504
4/21/2014,,493.9573184
4/22/2014,,487.2446469
4/23/2014,,489.5529656
4/24/2014,,501.3217387
4/25/2014,,464.4861721
4/26/2014,,459.6113385
4/27/2014,,429.1232364
4/28/2014,,439.8632742
4/29/2014,,445.9033566
4/30/2014,,449.029769
5/1/2014,,458.8058402
5/2/2014,,450.8123537
5/3/2014,,438.7218136
5/4/2014,,435.1691672
5/5/2014,,431.8497785
5/6/2014,,429.2380712
5/7/2014,,440.1143268
5/8/2014,,439.6793245
5/9/2014,,454.3553849
5/10/2014,,457.19355
5/11/2014,,437.5676149
5/12/2014,,441.1546747
5/13/2014,,440.1311329
5/14/2014,,445.5294081
5/15/2014,,448.6116824
5/16/2014,,449.1662811
5/17/2014,,451.2305491
5/18/2014,,449.127885
5/19/2014,,446.985782
5/20/2014,,491.4247366
5/21/2014,,495.0342783
5/22/2014,,527.6917506
5/23/2014,,523.8888715
5/24/2014,,528.1080408
5/25/2014,,574.0009232
5/26/2014,,586.2120688
5/27/2014,,575.9177622
5/28/2014,,579.4913961
5/29/2014,,569.4675433
5/30/2014,,621.0294594
5/31/2014,,626.3966518
6/1/2014,,626.5389658
6/2/2014,,667.2601597
6/3/2014,,671.3485754
6/4/2014,,642.0556529
6/5/2014,,661.348221
6/6/2014,,649.1744487
6/7/2014,,657.491754
6/8/2014,,659.1690234
6/9/2014,,650.5971673
6/10/2014,,656.7246552
6/11/2014,,637.5644525
6/12/2014,,596.4786019
6/13/2014,,604.7323189
6/14/2014,,573.1413963
6/15/2014,,593.920477
6/16/2014,,591.0360481
6/17/2014,,613.9656324
6/18/2014,,608.3135692
6/19/2014,,596.9568062
6/20/2014,,591.9389779
6/21/2014,,595.3285996
6/22/2014,,603.3494863
6/23/2014,,591.2974193
6/24/2014,,580.4519653
6/25/2014,,566.7340448
6/26/2014,,582.2441951
6/27/2014,,604.3131843
6/28/2014,,595.8426436
6/29/2014,,601.233282
6/30/2014,,640.8114502
7/1/2014,,641.7029261
7/2/2014,,654.6386781
7/3/2014,,644.6388545
7/4/2014,,631.9505456
7/5/2014,,631.628023
7/6/2014,,637.2722419
7/7/2014,,621.5407984
7/8/2014,,625.698705
7/9/2014,,624.2736451
7/10/2014,,616.2243979
7/11/2014,,635.9861309
7/12/2014,,636.2140943
7/13/2014,,629.6065584
7/14/2014,,619.1960624
7/15/2014,,620.8558599
7/16/2014,,617.3045542
7/17/2014,,623.6039959
7/18/2014,,630.8161862
7/19/2014,,630.7068836
7/20/2014,,624.4589178
7/21/2014,,620.1451188
7/22/2014,,618.9771258
7/23/2014,,619.1823066
7/24/2014,,603.5138665
7/25/2014,,600.1001807
7/26/2014,,593.9177734
7/27/2014,,590.6149775
7/28/2014,,583.8996601
7/29/2014,,583.062588
7/30/2014,,567.2313623
7/31/2014,,579.8300294
8/1/2014,,594.7110461
8/2/2014,,588.8697268
8/3/2014,,586.9703841
8/4/2014,,586.5709603
8/5/2014,,582.8666886
8/6/2014,,583.0151309
8/7/2014,,587.1790477
8/8/2014,,590.1914428
8/9/2014,,589.2193504
8/10/2014,,588.4490222
8/11/2014,,572.0456795
8/12/2014,,569.8113357
8/13/2014,,546.8058103
8/14/2014,,510.156719
8/15/2014,,496.233374
8/16/2014,,519.0608796
8/17/2014,,497.4748315
8/18/2014,,468.080214
8/19/2014,,487.4291729
8/20/2014,,512.044341
8/21/2014,,517.7784341
8/22/2014,,514.5978247
8/23/2014,,499.6570533
8/24/2014,,511.1602929
8/25/2014,,501.8694275
8/26/2014,,513.3795996
8/27/2014,,509.6121316
8/28/2014,,506.007067
8/29/2014,,508.5748158
8/30/2014,,499.4079478
8/31/2014,,477.6887387
9/1/2014,,472.9731601
9/2/2014,,475.4740551
9/3/2014,,474.6710994
9/4/2014,,489.8903912
9/5/2014,,482.0538705
9/6/2014,,483.8025353
9/7/2014,,480.0563835
9/8/2014,,471.3413002
9/9/2014,,473.0663721
9/10/2014,,478.5353878
9/11/2014,,477.9544106
9/12/2014,,474.5948746
9/13/2014,,478.2413022
9/14/2014,,476.766878
9/15/2014,,474.769636
9/16/2014,,466.3583406
9/17/2014,,458.1294415
9/18/2014,,424.6699529
9/19/2014,,393.4818935
9/20/2014,,408.5753438
9/21/2014,,399.2178367
9/22/2014,,404.8737046
9/23/2014,,438.9473557
9/24/2014,,424.4308379
9/25/2014,,409.9279568
9/26/2014,,404.1472915
9/27/2014,,399.8137483
9/28/2014,,376.560803
9/29/2014,,373.9979683
9/30/2014,,387.1236409
10/1/2014,,382.7886175
10/2/2014,,371.5863683
10/3/2014,,359.6692647
10/4/2014,,328.3355465
10/5/2014,,319.6782256
10/6/2014,,327.1887908
10/7/2014,,335.6269589
10/8/2014,,353.1771689
10/9/2014,,363.6797885
10/10/2014,,359.1853428
10/11/2014,,360.9226847
10/12/2014,,378.2245593
10/13/2014,,391.0052178
10/14/2014,,399.0929289
10/15/2014,,394.2426162
10/16/2014,,381.7712322
10/17/2014,,382.5181269
10/18/2014,,390.6997203
10/19/2014,,387.9184431
10/20/2014,,380.7244984
10/21/2014,,383.9995671
10/22/2014,,379.4259623
10/23/2014,,358.063096
10/24/2014,,357.1082558
10/25/2014,,345.5638995
