Cycle,Date_prev,Date_curr,Price_prev,Price_curr,MVRV_prev,MVRV_curr,Dir_MVRV,Z_prev,Z_curr,Dir_Z,RollMean_prev,RollMean_curr,RollStd_prev,RollStd_curr,Class
2013,2012-07-18,2012-08-16,9.09624321619122,13.5058788507023,1.7865941616590963,2.3400842327792963,NAIK,2.1844884847738553,3.419142680293218,NAIK,1.0377876124553775,1.0561414145448265,0.34278347284638466,0.3755160103831531,SEARAH (naik-naik)
2013,2012-08-16,2012-08-27,13.5058788507023,10.946191390968,2.3400842327792963,1.8356250812113883,TURUN,3.419142680293218,1.994176553691907,TURUN,1.0561414145448265,1.0636316099710883,0.3755160103831531,0.3871239333403427,SEARAH (turun-turun)
2013,2012-08-27,2012-09-19,10.946191390968,12.5416558889025,1.8356250812113883,1.9534049636622888,NAIK,1.994176553691907,1.9831216368659763,FLAT,1.0636316099710883,1.1119412276374567,0.3871239333403427,0.4243127200985201,FLAT/FLAT (tidak ada perubahan berarti)
2013,2012-09-19,2012-10-03,12.5416558889025,12.8571830959704,1.9534049636622888,1.9212168856692016,FLAT,1.9831216368659763,1.7269236282864198,TURUN,1.1119412276374567,1.1508166441264116,0.4243127200985201,0.44611135601128904,"DIVERGEN (MVRV naik/flat, Z turun)"
2013,2012-10-03,2012-10-18,12.8571830959704,11.9434086613232,1.9212168856692016,1.7560017356401332,TURUN,1.7269236282864198,1.2405085054018985,TURUN,1.1508166441264116,1.1973347227095061,0.44611135601128904,0.45035323054849247,SEARAH (turun-turun)
2013,2012-10-18,2012-10-31,11.9434086613232,11.1981681665433,1.7560017356401332,1.637471605219497,TURUN,1.2405085054018985,0.913949674117466,TURUN,1.1973347227095061,1.2365693505144912,0.45035323054849247,0.4386480635185167,SEARAH (turun-turun)
2013,2012-10-31,2012-12-13,11.1981681665433,13.73950338064,1.637471605219497,1.86142821539277,NAIK,0.913949674117466,1.2845000789585557,NAIK,1.2365693505144912,1.3731373775318683,0.4386480635185167,0.3801407612655011,SEARAH (naik-naik)
2013,2012-12-13,2012-12-31,13.73950338064,13.5599728441957,1.86142821539277,1.8039659723941568,TURUN,1.2845000789585557,1.0385543298706383,TURUN,1.3731373775318683,1.4226175997395127,0.3801407612655011,0.3671915485655378,SEARAH (turun-turun)
2013,2012-12-31,2013-03-11,13.5599728441957,48.4418702038992,1.8039659723941568,3.543811677459298,NAIK,1.0385543298706383,3.4551037653200516,NAIK,1.4226175997395127,1.683667805854161,0.3671915485655378,0.5383756894006999,SEARAH (naik-naik)
2013,2013-03-11,2013-04-09,48.4418702038992,230.87482467924,3.543811677459298,5.644007372342345,NAIK,3.4551037653200516,4.383779161101605,NAIK,1.683667805854161,1.935945950101858,0.5383756894006999,0.8458595394455691,SEARAH (naik-naik)
2013,2013-04-09,2013-04-24,230.87482467924,154.736372946798,5.644007372342345,3.5066073047854345,TURUN,4.383779161101605,1.767089190250748,TURUN,1.935945950101858,2.0081531876192584,0.8458595394455691,0.847978769511655,SEARAH (turun-turun)
2013,2013-04-24,2013-05-26,154.736372946798,133.082655766078,3.5066073047854345,2.7026071333389816,TURUN,1.767089190250748,0.6915569517243978,TURUN,2.0081531876192584,2.14399223992214,0.847978769511655,0.8077641212685884,SEARAH (turun-turun)
2013,2013-05-26,2013-06-20,133.082655766078,110.309030834817,2.7026071333389816,2.1635464147598094,TURUN,0.6915569517243978,-0.07190539514070556,TURUN,2.14399223992214,2.2186300174171434,0.8077641212685884,0.7660566018661827,SEARAH (turun-turun)
2013,2013-06-20,2013-06-28,110.309030834817,114.908370005196,2.1635464147598094,2.2378455590016646,NAIK,-0.07190539514070556,0.0035770579061103125,FLAT,2.2186300174171434,2.235146111444147,0.7660566018661827,0.7546558172587352,FLAT/FLAT (tidak ada perubahan berarti)
