Cycle,Date_prev,Date_curr,Price_prev,Price_curr,MVRV_prev,MVRV_curr,Dir_MVRV,Z_prev,Z_curr,Dir_Z
2019 (mini-cycle),2019-01-19,2019-02-02,3772.88464099678,3528.38897286619,0.8358388011129937,0.7901473729127138,TURUN,-1.550038487229002,-1.614916500936883,FLAT
2019 (mini-cycle),2019-02-23,2019-03-09,4153.60125610778,3985.93596132286,0.9400837787135364,0.9064273304632164,TURUN,-1.0057634154816992,-1.0668406849563032,FLAT
2021,2020-06-22,2020-07-08,9691.18891001144,9434.09323919054,1.658100975315515,1.6052949880872798,TURUN,0.25819893810821,0.2066459840432946,FLAT
2021,2020-11-24,2020-11-30,19118.1212264696,19667.5007343055,2.603632453438093,2.6277438278730343,FLAT,3.2739301582085343,3.1301766282324035,TURUN
2021,2022-09-12,2022-10-04,22397.7556323332,20344.6489661715,1.0390064976814344,0.9559110973113168,TURUN,-1.126716860916247,-1.1177525404823452,FLAT
2021,2022-10-04,2022-10-17,20344.6489661715,19548.6174791554,0.9559110973113168,0.9234169209898588,TURUN,-1.1177525404823452,-1.1119754184435782,FLAT
2023-2025 (current),2022-12-14,2022-12-26,17800.5289116282,16922.0231290302,0.8888492089406511,0.8498249353201401,TURUN,-0.9977713471046004,-1.0437276237010742,FLAT
2023-2025 (current),2023-04-14,2023-04-27,30495.9936496767,29491.4405723241,1.5318004288669835,1.4768434556976489,TURUN,2.047069209244597,1.9536857202924969,FLAT
2023-2025 (current),2023-07-23,2023-08-01,30101.2645734077,29703.8104813107,1.4705354642395612,1.4574479600919257,FLAT,1.437420100053439,1.3174575089927192,TURUN
2023-2025 (current),2023-12-08,2023-12-22,44191.4048992984,44028.1877377527,2.061107781994461,2.0230379202760416,FLAT,2.9280780589403856,2.507140465614798,TURUN
2023-2025 (current),2024-03-31,2024-04-08,71321.7045409231,71636.4603681044,2.5513538061625085,2.521986774745125,FLAT,2.254156632557569,2.0528240378403786,TURUN
2023-2025 (current),2024-11-22,2024-12-17,98943.4977548279,106168.858284328,2.7262885349967654,2.6834475856088624,FLAT,2.5478559547641764,1.9894773694980503,TURUN
2023-2025 (current),2025-07-14,2025-07-22,119831.19623272,119963.29839406,2.411403745911376,2.3649857625017168,FLAT,1.0313284285836974,0.808600761221672,TURUN
2023-2025 (current),2025-12-09,2025-12-21,92701.4808800457,88654.92324492,1.644946105802357,1.5759149115583413,TURUN,-2.1426743185766197,-2.232566979837118,FLAT
2023-2025 (current),2026-03-16,2026-03-25,74862.8476786669,71303.5184620582,1.3758452282263884,1.3130095384163891,TURUN,-1.533747481183829,-1.608103106093635,FLAT
