date,btc_price,sth_cost_basis,ratio,rolling_std,lower_1sd,lower_2sd,zone
2022-06-25,21486.7795267034,31198.45732337949,0.6887128842297483,0.23023882636600077,24782.303315426092,19685.6707128765,DEEP_ACCUMULATION
2022-06-26,21035.9629970889,31157.14647990918,0.6751569181938197,0.23081703759927363,24735.182004444065,19636.882639027757,DEEP_ACCUMULATION
2022-06-27,20707.6886918966,31025.66341276718,0.6674374183849139,0.23142225639234482,24615.897095915123,19530.360455961596,DEEP_ACCUMULATION
2022-06-28,20261.322494417,30909.55176638093,0.6555036012024743,0.23207370451049195,24507.80284411798,19431.93498197023,DEEP_ACCUMULATION
2022-06-29,20101.410032865,30766.67496645918,0.6533500956726359,0.2327304314734558,24378.502311410088,19316.72420225213,DEEP_ACCUMULATION
2022-06-30,19908.4208257945,30512.420006110944,0.6524694148090284,0.23338739566681083,24161.160802483446,19131.93680496494,DEEP_ACCUMULATION
2022-07-01,19252.1638224184,30325.0293021802,0.6348605183716765,0.23411793131601116,23995.2402985267,18986.677679570945,DEEP_ACCUMULATION
2022-07-02,19232.3596433005,30267.453649622254,0.6354138628883479,0.2348422444157644,23932.341710644596,18923.196724287613,DEEP_ACCUMULATION
2022-07-03,19298.6909601537,30185.3317694591,0.6393400313618458,0.23554465474231737,23850.64947568678,18845.3612091033,DEEP_ACCUMULATION
2022-07-04,20208.1258521229,30176.899147008367,0.6696554789701201,0.236117006802285,23830.343270130983,18818.5425416241,DEEP_ACCUMULATION
2022-07-05,20177.8719636965,30117.88915184402,0.6699630197178368,0.23668568633809736,23770.22228585221,18760.394019320924,DEEP_ACCUMULATION
2022-07-06,20542.4083893739,29769.93700192942,0.6900386919879115,0.23717607882360056,23484.08552513404,18525.476655058646,DEEP_ACCUMULATION
2022-07-07,21632.7264424563,29760.972069940428,0.7268823878338999,0.2375493853318783,23468.251030944954,18506.075848501387,DEEP_ACCUMULATION
2022-07-08,21599.3104220071,29691.838750582057,0.7274494046477227,0.2379163427057459,23405.1451359461,18449.541755778344,DEEP_ACCUMULATION
2022-07-09,21583.8358064306,29523.60273423184,0.7310705268840618,0.23827480939515497,23264.189029650304,18331.85794021569,DEEP_ACCUMULATION
2022-07-10,20841.4020253745,29475.44128037498,0.7070768449953927,0.23870155908611632,23216.32879725152,18286.339386578074,DEEP_ACCUMULATION
2022-07-11,19953.6463431842,29271.33280044476,0.6816787769527534,0.23921142554861802,23043.810508600734,18141.203421670947,DEEP_ACCUMULATION
2022-07-12,19314.5681356567,29144.640264395228,0.6627142404379748,0.23978727239118391,22930.86354169588,18041.89374093098,DEEP_ACCUMULATION
2022-07-13,20239.0325461825,29076.627350050698,0.6960584631266464,0.24024218759878743,22866.946417872477,17983.421260751522,DEEP_ACCUMULATION
2022-07-14,20587.8286458016,29009.615730022688,0.7096898089723679,0.24065158639489434,22804.907762303126,17927.290829603367,DEEP_ACCUMULATION
2022-07-15,20823.4872892865,28783.472107369107,0.7234529320024354,0.2410192710070405,22618.814642422276,17774.463550464938,DEEP_ACCUMULATION
2022-07-16,21209.9251489495,28741.254508709648,0.7379610080180083,0.24134660334304248,22578.247135265745,17736.77775779254,DEEP_ACCUMULATION
2022-07-17,20787.2747890091,28708.43986400154,0.7240823565294104,0.24170912106975054,22544.294769805336,17703.686758164025,DEEP_ACCUMULATION
2022-07-18,22497.1521495936,28732.36411816193,0.7829899432247899,0.2419285575911026,22558.13149631869,17710.6657326379,DEEP_ACCUMULATION
2022-07-19,23407.3349580126,28652.65124079633,0.8169343479351285,0.24208490301184168,22492.031137569797,17656.00887826774,MILD_ACCUMULATION
2022-07-20,23221.329625508,28648.83254175166,0.8105506425668887,0.2422515537138896,22485.285997863477,17647.772755447946,MILD_ACCUMULATION
2022-07-21,23151.3577660337,28507.478530942648,0.8121152398976537,0.24241026833355206,22370.792216515216,17555.124836849238,MILD_ACCUMULATION
2022-07-22,22701.4180913587,28465.44253329161,0.7975079981563039,0.24258957200429407,22333.800241811874,17522.953759028645,MILD_ACCUMULATION
2022-07-23,22463.2046978471,28417.18621860652,0.7904795543458496,0.24277856286956886,22291.725321992028,17486.636924868202,MILD_ACCUMULATION
2022-07-24,22587.3412261066,28392.752624695542,0.7955319276250978,0.24295957769949236,22268.527208017247,17465.27751532234,MILD_ACCUMULATION
2022-07-25,21316.7699867919,28272.147629487303,0.7539848145302878,0.2432203063518067,22168.155695439393,17382.023232812102,DEEP_ACCUMULATION
2022-07-26,21269.8745649408,28183.20646197049,0.754700306852653,0.24346630799538543,22092.981458612754,17318.818225642037,DEEP_ACCUMULATION
2022-07-27,22962.8182152291,28214.41814189562,0.813868218006296,0.24351488533858592,22116.37409745765,17336.31368042923,MILD_ACCUMULATION
2022-07-28,23858.0662916566,28246.304192589447,0.8446438206211727,0.2435350369294802,22140.92236680951,17355.206539965584,MILD_ACCUMULATION
2022-07-29,23776.6077602224,28227.103255973987,0.8423325462980448,0.24354353463824593,22125.683655600544,17343.114268167126,MILD_ACCUMULATION
2022-07-30,23649.5949175304,28206.61671613728,0.8384413896757862,0.2435608221109425,22109.243160352977,17329.927869156916,MILD_ACCUMULATION
