coin,network,address,balance,Height,Third party custodian name
USDC,BASE,0xa7c0d36c4698981fab42a7d8c783674c6fe2592d,0.0,50715726,
USDC,BASE,0x5a52e96bacdabb82fd05763e25335261b270efcb,0.727829,50715726,
USDC,OPTIMISM,0x18e226459ccf0eec276514a4fd3b226d8961e4d1,17.8615,156311011,
USDC,OPTIMISM,0xf977814e90da44bfa03b6295a0616a897441acec,0.000805,156311011,
USDC,BASE,0x3304e22ddaa22bcdc5fca2269b418046ae7b566a,78278.60214,50715726,
USDC,BASE,0x2b9ffcd7a44f9afc8770ac1d5e6405410816dab4,0.000273,50715726,Ceffu
USDC,BASE,0xd62e55b19135eb3c645573288ee4b6050f86ff54,67591187.54,50715726,
USDC,BASE,0x71a7de1bdad3904b312717843597f549d2a79eb8,0.0,50715726,Ceffu
USDC,SONIC,0x7ca1f5c11e298b8e5f6d8ddcc685a90c95dd8b44,66016017.27,78496667,
USDC,SONIC,0xd3a22590f8243f8e83ac230d1842c9af0404c4a1,0.0,78496667,Ceffu
USDC,SONIC,0x43684d03d81d3a4c70da68febdd61029d426f042,0.0,78496667,
USDC,SONIC,0xf977814e90da44bfa03b6295a0616a897441acec,0.0,78496667,
USDC,BASE,0x835678a611b28684005a5e2233695fb6cbbb0007,0.0,50715726,
USDC,BASE,0xb93b82f33e2653b544e046128f3cb47879dc917b,622039.888,50715726,Ceffu
USDC,SONIC,0xa4e471dbfe8c95d4c44f520b19cee436c01c3267,0.0,78496667,
USDC,SONIC,0x18e226459ccf0eec276514a4fd3b226d8961e4d1,0.0,78496667,
USDC,WLD,0x43684d03d81d3a4c70da68febdd61029d426f042,0.0,34442580,
USDC,WLD,0x18e226459ccf0eec276514a4fd3b226d8961e4d1,0.0,34442580,
USDC,WLD,0xf977814e90da44bfa03b6295a0616a897441acec,0.0,34442580,
USDC,WLD,0xbccf3e48d170f9af130e20c2d42243f528770452,0.0,34442580,
USDC,WLD,0x4ed6cf63bd9c009d247ee51224fc1c7041f517f1,0.0,34442580,
USDC,NEAR,451913e633c72fb951effe076d3bd2977e3f08083dcf6c87fa89992b0d437c5c,995617.9653,213761241,
USDC,NEAR,9c484fa5d2d069569ba063fc555c34e621ccd88fdbb0295fc79bad232621c5c1,966805.8,213761241,
USDC,MATIC,0xf977814e90da44bfa03b6295a0616a897441acec,268.209996,93010514,
USDC,MATIC,0xe7804c37c13166ff0b37f5ae0bb07a3aebb6e245,21260.84231,93010514,
