,binance-cex,okx,bitfinex,robinhood,gemini,bybit,crypto-com,htx,kucoin,bitstamp,deribit,bitkub,gate,bitget,mexc,bitmex,swissborg,korbit,phemex,probit-global,woo-x,bake.io,bingx,coinsquare,toobit,coinw,coindcx,fastex,nbx,okcoin,bitvenus,coinstore,coin8,exmo,flipster,nonkyc,bitrue,latoken,bitmart,btse,hashkey-exchange,biconomy.com,pionex,bitunix,blofin,backpack,hotcoin,ourbit,indodax,tothemoon,hashkey-global,p2pb2b,orangex,bigone,arkham-exchange,hibt,lbank,tradeogre,bitomato,zoomex,coinex,nexo,poloniex,cex.io,bitlo,valr,bitkan,voyager,gate-us,levex,weex,bydfi,osl-exchange,byte-exchange,grovex,bitvavo,sclite,webot,niza,websea
2024-06-04,40471158725.74054,8924086832.20915,14331910298.785799,9609255749.73304,,3320498302.2462697,3459519180.87502,1549126692.04393,947578809.8191899,1508257320.43628,2153267808.26796,,1156225731.04162,934264240.02449,147910188.32452,883129101.88186,436582562.83533996,469144720.22751,145818759.16096,,26963077.81821,1.24159,,86111184.1035,,318249.75218,69263986.9852,0.0,1990067.05376,7436216.27583,5234717.8836199995,,,,3699342.349,88992.44285,,0.41416,24605.45804,1379540.0,,,,,,0.0,,,,,6104883.45595,,,,,0.0,,,,,0.0,3716894.7490499998,,,,,,0,,,,,,,,,,,,
2024-06-05,41227441757.32309,9050340558.65151,14668818025.70414,9817233443.80745,,3382912164.88969,3528933810.9017997,1587413372.6209,938753083.56488,1536868505.0732,2222146504.35033,,1173168749.18572,962782591.3515,148725423.42204002,904510512.33437,447020420.09142,481112663.44151,149349172.6002,,26036541.00954,1.27089,,100120861.64078,,508502.56332,70707297.06217,0.0,1998497.89758,7528760.12086,5356482.48473,,,,3788907.01146,23739.57877,,0.42388,25061.674570000003,1412940.0,,,,,,0.0,,,,,7292828.74556,,,,,0.0,,,,,0.0,3803037.57526,,,,,,0,,,,,,,,,,,,
2024-06-06,41297826716.093765,9070677364.13448,14764586818.811039,9991335183.51456,,3386369424.6676097,3541018373.73846,1597884140.63643,920276632.61073,1549593762.7238898,2260921713.9987,,1175897169.0790899,971199983.26096,148449662.28948,910540839.73436,448824873.47179997,484423214.03829,150344876.03127,,28222287.51314,1.27897,,100809766.65207,,530930.11901,70696174.80172001,0.0,2004292.84644,7561205.470129999,5395389.056849999,,,,3814167.46417,23759.5933,,0.42671,24945.166940000003,1422360.0,,,,,,0.0,,,,,8370943.33232,,,,,0.0,,,,,0.0,3834983.4570400002,,,,,,0,,,,,,,,,,,,
2024-06-07,41218597867.74019,8833766206.99857,14688042030.88377,9725364760.14328,,3371420710.42638,3541215112.573,1586169271.91793,908546986.0753801,1535999569.9588602,2309849123.53239,,1166319629.31986,941091614.0153899,147568449.86271,906046902.2303,445967624.04218,482032331.33861,149602855.00302,,27612303.23189,1.27616,,100312224.14392,,628308.15253,70347076.20749,0.0,1787087.57489,7379367.28757,5363043.3155000005,,,,3795342.79559,25799.43707,,0.4246,24466.32573,1415340.0,,,,,,0.0,,,,,8265682.78927,,,,,0.0,,,,,0.0,3814886.32865,,,,,,0,,,,,,,,,,,,
2024-06-08,40154645842.05966,8636656960.117151,14352774028.81469,9514692105.83512,,3325864661.9826503,3447315272.24412,1553227904.99284,892992076.60625,1495592216.97388,2209734261.76787,,1133689767.89546,913875590.0642799,145740293.58129,886214683.03177,436063808.75845003,473181521.11599,146533297.9289,,29671581.96623,1.24592,,98116516.60793,,234234.52703,69050002.05701001,0.0,1741204.5579,7234392.82851,5249513.610040001,,,,3717469.80763,32636.25646,,0.41589,23468.18555,1386300.0,,,,,,0.0,,,,,8733518.51954,,,,,0.0,,,,,0.0,3731591.17674,,,,,,0,,,,,,,,,,,,
2024-06-09,40639748859.114975,8680492315.750439,14379332127.430841,9525533530.08817,,3335982125.6132903,3462260844.27917,1555384993.0980399,891931733.42557,1485911465.79774,2215160592.43144,,1154200330.90818,909251436.13471,146221915.11839998,888762527.7053901,436601762.10323,475089673.18262,146480447.42832,,29673239.74523,1.24675,,98218576.60961,,222208.00146,68470739.80368,0.0,1740576.55366,7221198.62343,5254835.40278,,,,3716129.01927,39734.94877,,0.41574,23078.54051,1385800.0,,,,,,0.0,,,,,9344964.06603,,,,,0.0,,,,,0.0,3733579.33603,,,,,,0,,,,,,,,,,,,
2024-06-10,40970691165.452156,8616471288.52802,14458027306.7769,9573756267.29983,,3355074071.9417,3483716753.74959,1582265301.51964,904996912.7097,1498316061.12233,2226315261.54033,,1155323798.25243,910374987.39249,150022180.10491,891771289.0883499,438723612.74987,477571754.75821,147245722.67682,,28565714.02058,1.25332,,98822431.6195,,279845.1788,68365764.37332001,0.0,1749670.05507,7265241.4514999995,5282327.20038,,,,3735543.63473,52027.54592,,0.41791,23042.79427,1394320.0,,,,,,0.0,,,,,10078156.96973,,,,,0.0,,,,,0.0,3751546.78896,,,,,,0,,,,,,,,,,,,
2024-06-11,40970979822.94607,8564262907.46321,14402069822.181469,9531242387.98234,,3359827664.90473,3458792892.68333,1577601201.7950602,907122569.57662,1533834376.74387,2208374795.5878,,1143836075.6941001,906076917.8925301,149579799.64387003,890068458.35135,437904988.236,476659872.97822,146964558.0137,,29295453.80851,1.2506,,98611224.11604,,314883.86487,68172861.81429,0.0,1791013.62843,7246454.318089999,5272344.88967,,,,3728410.64065,75256.51096,,0.41711,22793.5056,1391340.0,,,,,,0.0,,,,,9945015.61757,,,,,0.0,,,,,0.0,3749624.04847,,,,,,0,,,,,,,,,,,,
2024-06-12,39811479763.411095,8190768147.6555395,13941002296.47787,9265804115.43717,,3264972758.44469,3362988975.61206,1553115350.0819,888387710.2674,1484978450.02522,2087736700.91682,,1098908891.1599,873953809.06225,147673726.59819,863066423.1688299,424140801.00649,461788047.02015996,142506089.78414,,28923556.37288,1.20989,,95553676.56593,,324021.22851,65776260.18801,0.0,1734735.41756,6954792.03732,5107878.5045799995,,,,3612083.84251,72658.68503,,0.4041,21604.08595,1348200.0,,,,,,0.0,,,,,10332610.33021,,,,,0.0,,,,,0.0,3625850.67046,,,,,,0,,,,,,,,,,,,
2024-06-13,40534442348.88823,8251749272.18271,14223898824.6421,9394645723.54504,,3296499532.5766597,3405074798.80183,1580231177.99561,893296878.1520799,1519799235.20347,2124074737.54156,,1089209522.38964,890017203.61136,150981791.24801,877559691.77113,430589349.34582996,468267599.17776996,144899160.45074,,30572610.01761,1.2298,,97158286.59223,,328567.62882,66699136.95409,0.0,1921617.77612,7014335.67537,5179878.53335,,,,3662765.64253,123308.58573,,0.41125,21420.19826,1370840.0,,,,,,0.0,,,,,9754960.64026,,,,,0.0,,,,,0.0,3690277.75675,,,,,,0,,,,,,,,,,,,
