time,usdt,usdt_eth,usdt_omni,usdt_trx,usdc,dai,busd,tusd,pax
2020-05-21,9256365431.043098,5737970410.922098,1335000000.0,2183395020.121,731745023.6,105096440.85314396,165194452.1,141359743.28,243680762.74
2020-05-22,9256365431.043098,5737970410.922098,1335000000.0,2183395020.121,731009490.59,107468746.1727284,168257936.61,141186888.03,246426285.83
2020-05-23,9356365431.043098,5737970410.922098,1335000000.0,2283395020.121,731005323.09,107070410.12130176,168257936.61,141473670.98,246426285.83
2020-05-24,9356365431.043098,5737970410.922098,1335000000.0,2283395020.121,731361146.49,107344484.20322315,178677409.76,141562860.62,251295099.49
2020-05-25,9356365431.043098,5737970410.922098,1335000000.0,2283395020.121,739749476.3,107316750.36063524,180205059.17,139214408.0,252257727.36
2020-05-26,9356365431.043098,5737970410.922098,1335000000.0,2283395020.121,738895455.11,106026020.79974884,179790538.77,139409020.64,247601628.01
2020-05-27,9356365431.043098,5737970410.922098,1335000000.0,2283395020.121,739428577.01,106849050.99092928,189793247.94,139350830.43,250035343.56
2020-05-28,9356365431.043098,5737970410.922098,1335000000.0,2283395020.121,745282563.23,106956244.06363818,183702199.55,137101296.71,251496392.58
2020-05-29,9356365431.043098,5737970410.922098,1335000000.0,2283395020.121,745963776.76,108652081.8999121,171665940.83,136597687.06,245429130.64
2020-05-30,9356365431.043098,5737970410.922098,1335000000.0,2283395020.121,745934034.93,112259679.2162615,171665940.83,136840795.06,245429130.64
2020-05-31,9456365431.043098,5737970410.922098,1335000000.0,2383395020.121,730920000.73,118249634.35353266,171665940.83,137095854.25,245429130.64
2020-06-01,9456365431.043098,5737970410.922098,1335000000.0,2383395020.121,730214261.43,112298965.11784156,168809508.34,137902589.59,243627409.82
2020-06-02,9656365431.043098,5737970410.922098,1335000000.0,2583395020.121,741019268.11,111019258.85384026,165890469.54,137945061.32,242071889.99
2020-06-03,9656365431.043098,5737970410.922098,1335000000.0,2583395020.121,736435238.6,111120237.02951178,173769899.14,137985392.93,239820142.28
2020-06-04,9656365431.043098,5737970410.922098,1335000000.0,2583395020.121,739883509.37,110586911.02532732,169567686.96,137972648.12,243455760.18
2020-06-05,9656365431.043098,5737970410.922098,1335000000.0,2583395020.121,740155304.14,110494583.84895456,167116131.28,136786816.28,244614472.62
2020-06-06,9656365431.043098,5737970410.922098,1335000000.0,2583395020.121,739476954.14,110952837.0515822,167116131.28,136726144.39,244614472.62
2020-06-07,9656365431.043098,5737970410.922098,1335000000.0,2583395020.121,739472729.74,113900949.46212669,167116131.28,137039690.39,244614472.62
2020-06-08,9656242570.798355,5737847550.677356,1335000000.0,2583395020.121,741783272.69,111767418.98921776,169613586.56,137350961.36,245336900.8
2020-06-09,9656242570.798355,5737847550.677356,1335000000.0,2583395020.121,745404206.68,109185788.40014116,168088991.21,137933522.2709581,246338252.73
2020-06-10,9756242570.798355,5737847550.677356,1335000000.0,2683395020.121,735472741.95,109327442.02378362,178506549.92,138625754.6021662,249798811.52
2020-06-11,9756242570.798355,5737847550.677356,1335000000.0,2683395020.121,734119556.79,113765287.7956737,163464820.68,138490823.89766812,246392931.29
2020-06-12,9756242570.798355,5737847550.677356,1335000000.0,2683395020.121,732534457.1,111315472.45469671,177508310.13,138415615.3640785,248522525.2
2020-06-13,9856242570.798355,5737847550.677356,1335000000.0,2783395020.121,742257629.31,113056185.52234216,177508310.13,140141232.7714039,248522525.2
2020-06-14,9856242570.798355,5737847550.677356,1335000000.0,2783395020.121,742253474.21,105624884.81219232,177508310.13,139758060.3637394,248522525.2
2020-06-15,9856242570.798355,5737847550.677356,1335000000.0,2783395020.121,752785549.17,103440363.32838435,156126142.82,141540617.1028506,246577201.51
2020-06-16,9856242570.798355,5737847550.677356,1335000000.0,2783395020.121,771082613.5,102694347.82339036,157158089.63,142157209.21212664,250352595.59
2020-06-17,9956242570.798355,5737847550.677356,1335000000.0,2883395020.121,802031421.37,100773536.37474687,148438367.79,142712194.51925033,248266245.37
2020-06-18,9956242570.798355,5737847550.677356,1335000000.0,2883395020.121,829046362.52,99305348.03602809,147059233.58,143890416.7032646,247204808.42
2020-06-19,9956242570.798355,5737847550.677356,1335000000.0,2883395020.121,881915647.26,103848799.62187502,154372414.84,136429789.68484792,245040271.59
2020-06-20,9956242570.798355,5737847550.677356,1335000000.0,2883395020.121,912649128.17,105975899.03044005,154372414.84,139250804.7368428,245040271.59
2020-06-21,9956242570.798355,5737847550.677356,1335000000.0,2883395020.121,932610868.42,104899759.18078044,155784046.51,142180552.3264374,246885523.29
2020-06-22,9956242570.798355,5737847550.677356,1335000000.0,2883395020.121,951108810.73,110792824.91392905,170201997.83,144813276.04938146,247068851.08
2020-06-23,9956242570.798355,5737847550.677356,1335000000.0,2883395020.121,944696708.05,107306714.1265026,164755791.6,140572328.91189495,249918234.51
2020-06-24,9956242570.798355,5737847550.677356,1335000000.0,2883395020.121,939863307.52,109494027.5116722,172661235.51,138278400.7646994,244118425.05
2020-06-25,9956242570.798355,5737847550.677356,1335000000.0,2883395020.121,940575239.09,106475674.55451198,176061016.3,138973388.07827187,246460905.31
2020-06-26,9956242570.798355,5737847550.677356,1335000000.0,2883395020.121,952705227.54,107041029.53422391,164429914.09,141186581.36311474,242065981.59
2020-06-27,9956242570.798355,5737847550.677356,1335000000.0,2883395020.121,982701827.64,108886624.68880428,164429914.09,142575886.25802094,242065981.59
2020-06-28,9956242570.798355,5737847550.677356,1335000000.0,2883395020.121,982693023.04,107502033.39743096,172710000.01,140762581.0635771,246468710.04
2020-06-29,10256242570.798355,6037847550.677356,1335000000.0,2883395020.121,981403208.87,108098061.07184687,168290402.3,140276567.58029234,238676782.19
2020-06-30,10256242570.798355,6037847550.677356,1335000000.0,2883395020.121,985540179.88,106576958.12754355,175198427.56,139901889.9073749,241123246.7
2020-07-01,10256242570.798355,6037847550.677356,1335000000.0,2883395020.121,1002228740.35,109238126.820766,174473356.37,140876398.42397097,243881733.26
2020-07-02,10256242570.798355,6037847550.677356,1335000000.0,2883395020.121,998420830.69,118122341.57452086,177692659.1,140943983.95026708,240703460.25
2020-07-03,10256242570.798355,6037847550.677356,1335000000.0,2883395020.121,1038295150.52,110162919.80395764,168685985.88,141520937.3365054,245943216.53
2020-07-04,10256242570.798355,6037847550.677356,1335000000.0,2883395020.121,1038291106.42,111984492.69931594,168685985.88,141384192.88290897,245943216.53
2020-07-05,10256242570.798355,6037847550.677356,1335000000.0,2883395020.121,1038164920.42,113615362.25126958,174093733.28,140804699.26899987,246081699.27
2020-07-06,10256242570.798355,6037847550.677356,1335000000.0,2883395020.121,1047060453.16,115986266.50805008,174242580.3,140556494.19519037,246450681.11
2020-07-07,10256242570.798355,6037847550.677356,1335000000.0,2883395020.121,1045586252.04,114235525.05156016,172952472.46,140647644.84028634,251339831.66
2020-07-08,10256242570.798355,6037847550.677356,1335000000.0,2883395020.121,1069600575.71,109296364.94490372,178717339.89,140047356.04899588,251545963.68
2020-07-09,10256242570.798355,6037847550.677356,1335000000.0,2883395020.121,1099290086.39,108882990.16787526,167162164.88,137898485.1555001,239987424.9
2020-07-10,10256242570.798355,6037847550.677356,1335000000.0,2883395020.121,1110598357.95,108432771.38216366,165838377.69,137143699.0607539,239345265.82
2020-07-11,10256242570.798355,6037847550.677356,1335000000.0,2883395020.121,1109116789.04,108407536.16788898,173496178.45,137013225.8549776,240055419.6
2020-07-12,10256242570.798355,6037847550.677356,1335000000.0,2883395020.121,1109111817.34,108090042.31764431,173496178.45,137916836.99774536,240055419.6
2020-07-13,10256242570.798355,6037847550.677356,1335000000.0,2883395020.121,1106549511.25,108901422.35995984,165721200.1,135929724.01370597,238712572.81
2020-07-14,10256242570.798355,6037847550.677356,1335000000.0,2883395020.121,1101803572.92,105842279.87795588,162637310.43,138237842.9305967,239471913.67
2020-07-15,10256242570.798355,6037847550.677356,1335000000.0,2883395020.121,1107279326.93,105407477.134096,163183290.38,136736248.68752807,234611941.08
2020-07-16,10256242570.798355,6037847550.677356,1335000000.0,2883395020.121,1104510562.58,106803809.40997064,166701958.98,134314620.59554902,229830368.98
2020-07-17,10256242570.798355,6037847550.677356,1335000000.0,2883395020.121,1105416636.5,106232117.02555484,172004271.44,133540543.89015366,231676166.56
2020-07-18,10256242570.798355,6037847550.677356,1335000000.0,2883395020.121,1124597781.25,114987589.97365524,174565506.78,143578617.1708343,235701992.32
2020-07-19,10256242570.798355,6037847550.677356,1335000000.0,2883395020.121,1124549879.78,148032464.6860519,184946769.3,172145700.62737188,235840470.47
2020-07-20,10256242570.798355,6037847550.677356,1335000000.0,2883395020.121,1110109220.94,168508310.73187682,172776284.69,167270556.03854296,237008996.5
2020-07-21,10256242570.798355,6037847550.677356,1335000000.0,2883395020.121,1118063022.4,177833214.26036435,183203833.4,174570080.59956408,238541514.09
2020-07-22,10376242570.798355,6157847550.677356,1335000000.0,2883395020.121,1118224865.8,182352431.8333009,185474403.66,189057639.72038573,240072699.61
2020-07-23,10496242570.798355,6157847550.677356,1335000000.0,3003395020.121,1113383752.1,218661075.10751584,176753077.57,222439807.99093065,244317562.55
2020-07-24,10496242570.798355,6157847550.677356,1335000000.0,3003395020.121,1110036619.01,225295166.18300664,178080603.84,240203376.93131,246251867.52
2020-07-25,10646242570.798355,6157847550.677356,1335000000.0,3153395020.121,1108839777.7,157807776.7283262,178080603.84,239543667.10166135,246251867.52
2020-07-26,10646242570.798355,6157847550.677356,1335000000.0,3153395020.121,1167806885.05,129407948.07401688,171922175.46,227129551.5920243,252030438.52
2020-07-27,10765874191.659727,6277479171.538729,1335000000.0,3153395020.121,1172213437.27,128005574.78729331,169295142.85,184547920.62248325,252956126.2
2020-07-28,10885874191.659727,6397479171.538729,1335000000.0,3153395020.121,1169286178.6,127198489.29364207,148411197.55,184700501.0418224,253278822.9
2020-07-29,11185874191.659727,6397479171.538729,1335000000.0,3453395020.121,1165255148.65,160993961.02429003,151547934.36,186288493.37216023,252847331.24
2020-07-30,11185874191.659727,6397479171.538729,1335000000.0,3453395020.121,1146632507.99,187256583.75217536,147007845.24,196526403.97252285,250895235.49
2020-07-31,11185874191.659727,6397479171.538729,1335000000.0,3453395020.121,1080262825.75,186148434.8622874,159231367.05,206484507.97284412,253716532.77
2020-08-01,11555874191.659727,6517479171.538729,1335000000.0,3703395020.121,1086151708.88,204678820.28773573,152158483.6,217098002.0031164,256283838.81
2020-08-02,11555874191.659727,6517479171.538729,1335000000.0,3703395020.121,1099661382.14,183022583.9440583,161639983.3,218683335.46335828,253178851.12
2020-08-03,11555874191.659727,6517479171.538729,1335000000.0,3703395020.121,1085841835.57,155882805.55983683,157565919.72,205585820.2236196,251684841.39
2020-08-04,11675874191.659727,6637479171.538729,1335000000.0,3703395020.121,1084108793.35,155232518.06181517,159511593.67,204084089.6439173,251712932.99
2020-08-05,11675874191.659727,6637479171.538729,1335000000.0,3703395020.121,1078825273.82,160894401.0806157,163227641.78,198313898.2042548,257649650.45
2020-08-06,11995874191.659727,6757479171.538729,1335000000.0,3903395020.121,1093857654.9,167351764.45838186,163329539.45,199327978.64460596,264308888.58
2020-08-07,12115874191.659727,6877479171.538729,1335000000.0,3903395020.121,1110100826.81,158598428.81077766,165545914.61,203703533.29500064,261804417.37
2020-08-08,12115874191.659727,6877479171.538729,1335000000.0,3903395020.121,1148086617.53,156477768.87040162,178996750.76,209296093.5854344,261031572.08
2020-08-09,12115874191.659727,6877479171.538729,1335000000.0,3903395020.121,1146521050.64,156891297.83423185,180166092.07,209582479.205876,261877607.59
2020-08-10,12615723881.825457,7377328861.704455,1335000000.0,3903395020.121,1123296676.32,158702167.12051904,169711745.63,200401676.7262688,255321238.98
2020-08-11,12615723881.825457,7377328861.704455,1335000000.0,3903395020.121,1133161115.01,157948648.76147437,160701989.7,193665168.98661804,252512176.37
2020-08-12,12615723881.825457,7377328861.704455,1335000000.0,3903395020.121,1161903001.55,158056377.08317667,173459248.11,195452436.676904,253837076.6
2020-08-13,12615723881.825457,7377328861.704455,1335000000.0,3903395020.121,1178560907.57,175376048.71877676,179073439.41,192508530.91719863,253231515.51
2020-08-14,12735723881.825457,7497328861.704455,1335000000.0,3903395020.121,1205568234.04,204929963.5032055,192755725.01,252992339.80776376,257884423.95
2020-08-15,12735723881.825457,7497328861.704455,1335000000.0,3903395020.121,1202416467.7,210456949.8793421,188740770.86,273764168.3482799,257943799.25
2020-08-16,12735723881.825457,7497328861.704455,1335000000.0,3903395020.121,1202380664.27,211403771.81912392,188740770.86,289495678.3885126,257943799.25
2020-08-17,12935723881.825457,7497328861.704455,1335000000.0,4103395020.121,1221311094.88,213769564.1471961,200899646.53,282314951.5188734,259626863.19
2020-08-18,13135723881.825457,7497328861.704455,1335000000.0,4303395020.121,1248968536.25,224622440.4840029,209579417.81,294192196.79937816,262099715.43
2020-08-19,13135723881.825457,7497328861.704455,1335000000.0,4303395020.121,1274679231.66,214534561.9881912,195563314.63,301855156.9797256,254736962.75
2020-08-20,13135723881.825457,8497328861.704455,1335000000.0,3303395020.121,1308227982.07,212397689.6994241,201312634.42,318606013.8299435,258397697.73
