date,btc_price,min_sopr,pct_sth_in_loss,sth_loss_chg5,rsi14,rsi_bb_lower,c1_sopr,c2_sth_loss,c3_rsi_bb,confirm_count,zone,drawdown_10d,is_correction
2023-12-18,42674.1990190121,1.020959561227274,17.251676659997113,2.4246983158989828,59.11930825173625,52.831279781129496,False,False,False,0,NEUTRAL,-0.02596490632867332,False
2023-12-19,42292.5183668724,1.0112453423231629,19.58196451785552,9.70118513627607,57.016642294217576,52.39242828036427,False,False,False,0,NEUTRAL,-0.034676735919049406,False
2023-12-20,43681.5398780004,1.0209063737644024,5.715566563102419,-15.18215925840679,62.27514421823308,52.28568893329196,False,False,False,0,NEUTRAL,0.0,False
2023-12-21,43884.4164563142,1.015110163596473,7.798402481430012,-8.698499772506507,62.987372538554006,53.039496036145,False,False,False,0,NEUTRAL,0.0,False
2023-12-22,44028.1877377527,1.0124866987013483,2.2672855585408938,-23.657728744792266,63.51309149060341,53.18942790436597,False,False,False,0,NEUTRAL,0.0,False
2023-12-23,43761.49796539,1.0049064736292102,11.258988141054894,-5.992688518942218,61.760685513697354,53.30318814026717,False,False,False,0,NEUTRAL,-0.006057250731081543,False
2023-12-24,43043.6663501508,1.0019920425585005,21.18820928202564,1.6062447641701176,57.186966914035715,52.988713169006175,False,False,False,0,NEUTRAL,-0.022361160842368832,False
2023-12-25,43611.5247374747,1.006507740334529,14.144164344444349,8.42859778134193,59.727737804108735,52.85332696870803,False,False,False,0,NEUTRAL,-0.009463551004183723,False
2023-12-26,42539.1184136361,1.0263801816266198,19.967759354496952,12.16935687306694,53.2952097466475,52.31719295385022,False,False,False,0,NEUTRAL,-0.03382081799473602,False
2023-12-27,43471.753257475,1.0120609505240572,18.30829980914741,16.041014250606516,57.574480325555754,52.28746355009337,False,False,False,0,NEUTRAL,-0.012638141810242476,False
2023-12-28,42605.1593740229,1.0052378623452494,26.084889598065843,14.825901457010948,52.739109558524135,51.62880224170636,False,False,False,0,NEUTRAL,-0.03232084800323498,False
2023-12-29,42092.6334867548,1.0220578877875273,27.728607942280835,6.540398660255196,50.061258679836385,50.69776360045125,False,False,True,1,NEUTRAL,-0.043961706135322576,False
2023-12-30,42154.0589758333,1.0026111740903372,27.71440255985349,13.570238215409141,50.386399756294416,49.90377413604883,False,False,False,0,NEUTRAL,-0.042566566061777666,False
2023-12-31,42294.1598555961,1.0090461842573035,28.03105398880248,8.063294634305528,51.16734663362577,49.04026701665799,False,False,False,0,NEUTRAL,-0.03938449369038477,False
2024-01-01,44203.7020721423,1.0209847303525053,3.40156522323254,-14.90673458591487,60.3323102072065,48.84099277010428,False,False,False,0,NEUTRAL,0.0,False
2024-01-02,44974.7685212193,1.0240521323608829,5.488494312439803,-20.596395285626038,63.32548465617866,48.781441886493965,False,False,False,0,NEUTRAL,0.0,False
